date,Cooking_NL
2020-03-15,54
2020-03-22,62
2020-03-29,75
2020-04-05,84
2020-04-12,100
2020-04-19,86
2020-04-26,89
2020-05-03,81
2020-05-10,75
2020-05-17,73
2020-05-24,61
2020-05-31,59
2020-06-07,64
2020-06-14,66
2020-06-21,58
2020-06-28,58
2020-07-05,59
2020-07-12,56
2020-07-19,58
2020-07-26,54
2020-08-02,58
2020-08-09,50
2020-08-16,52
2020-08-23,58
2020-08-30,60
2020-09-06,64
2020-09-13,56
2020-09-20,61
2020-09-27,72
2020-10-04,65
2020-10-11,71
2020-10-18,68
2020-10-25,64
2020-11-01,61
2020-11-08,75
2020-11-15,67
2020-11-22,62
2020-11-29,65
2020-12-06,61
2020-12-13,63
2020-12-20,89
2020-12-27,60
2021-01-03,72
2021-01-10,68
2021-01-17,66
2021-01-24,70
2021-01-31,64
2021-02-07,59
2021-02-14,67
2021-02-21,53
2021-02-28,61
2021-03-07,51
2021-03-14,56
2021-03-21,50
2021-03-28,58
2021-04-04,75
2021-04-11,66
2021-04-18,71
2021-04-25,73
2021-05-02,70
2021-05-09,69
2021-05-16,69
2021-05-23,64
2021-05-30,53
2021-06-06,51
2021-06-13,47
2021-06-20,53
2021-06-27,51
2021-07-04,51
2021-07-11,48
2021-07-18,59
2021-07-25,52
2021-08-01,56
2021-08-08,58
2021-08-15,66
2021-08-22,56
2021-08-29,61
