date,Cooking_BD
2020-03-15,43
2020-03-22,42
2020-03-29,69
2020-04-05,63
2020-04-12,76
2020-04-19,88
2020-04-26,76
2020-05-03,100
2020-05-10,65
2020-05-17,72
2020-05-24,84
2020-05-31,62
2020-06-07,69
2020-06-14,64
2020-06-21,63
2020-06-28,65
2020-07-05,74
2020-07-12,60
2020-07-19,59
2020-07-26,72
2020-08-02,60
2020-08-09,53
2020-08-16,63
2020-08-23,58
2020-08-30,61
2020-09-06,52
2020-09-13,50
2020-09-20,50
2020-09-27,59
2020-10-04,34
2020-10-11,46
2020-10-18,39
2020-10-25,35
2020-11-01,72
2020-11-08,56
2020-11-15,43
2020-11-22,46
2020-11-29,48
2020-12-06,34
2020-12-13,51
2020-12-20,34
2020-12-27,37
2021-01-03,45
2021-01-10,44
2021-01-17,48
2021-01-24,40
2021-01-31,34
2021-02-07,43
2021-02-14,49
2021-02-21,35
2021-02-28,37
2021-03-07,48
2021-03-14,43
2021-03-21,38
2021-03-28,38
2021-04-04,47
2021-04-11,55
2021-04-18,52
2021-04-25,35
2021-05-02,37
2021-05-09,50
2021-05-16,48
2021-05-23,42
2021-05-30,33
2021-06-06,40
2021-06-13,55
2021-06-20,35
2021-06-27,47
2021-07-04,46
2021-07-11,47
2021-07-18,45
2021-07-25,45
2021-08-01,43
2021-08-08,44
2021-08-15,52
2021-08-22,45
2021-08-29,23
