date,Sports_PE
2018-01-07,55
2018-01-14,45
2018-01-21,67
2018-01-28,52
2018-02-04,55
2018-02-11,60
2018-02-18,72
2018-02-25,56
2018-03-04,76
2018-03-11,67
2018-03-18,57
2018-03-25,70
2018-04-01,54
2018-04-08,63
2018-04-15,54
2018-04-22,54
2018-04-29,59
2018-05-06,67
2018-05-13,55
2018-05-20,66
2018-05-27,86
2018-06-03,70
2018-06-10,89
2018-06-17,100
2018-06-24,94
2018-07-01,72
2018-07-08,53
2018-07-15,45
2018-07-22,47
2018-07-29,53
2018-08-05,46
2018-08-12,52
2018-08-19,43
2018-08-26,51
2018-09-02,55
2018-09-09,53
2018-09-16,51
2018-09-23,53
2018-09-30,53
2018-10-07,58
2018-10-14,60
2018-10-21,69
2018-10-28,72
2018-11-04,59
2018-11-11,54
2018-11-18,60
2018-11-25,43
2018-12-02,45
2018-12-09,53
2018-12-16,55
2018-12-23,38
2018-12-30,46
2019-01-06,49
2019-01-13,54
2019-01-20,62
2019-01-27,64
2019-02-03,75
2019-02-10,62
2019-02-17,63
2019-02-24,85
2019-03-03,88
2019-03-10,87
2019-03-17,75
2019-03-24,60
2019-03-31,66
2019-04-07,51
2019-04-14,70
2019-04-21,57
2019-04-28,42
2019-05-05,51
2019-05-12,45
2019-05-19,51
2019-05-26,56
2019-06-02,57
2019-06-09,61
2019-06-16,76
2019-06-23,63
2019-06-30,70
2019-07-07,50
2019-07-14,47
2019-07-21,67
2019-07-28,52
2019-08-04,54
2019-08-11,64
2019-08-18,50
2019-08-25,52
2019-09-01,55
2019-09-08,56
2019-09-15,48
2019-09-22,56
2019-09-29,49
2019-10-06,82
2019-10-13,65
2019-10-20,63
2019-10-27,60
2019-11-03,76
2019-11-10,79
2019-11-17,81
2019-11-24,71
2019-12-01,78
2019-12-08,62
2019-12-15,75
2019-12-22,47
2019-12-29,48
2020-01-05,56
2020-01-12,60
2020-01-19,65
2020-01-26,68
2020-02-02,68
2020-02-09,74
2020-02-16,71
2020-02-23,74
2020-03-01,81
2020-03-08,63
