date,Music_EG
2020-03-15,85
2020-03-22,88
2020-03-29,97
2020-04-05,97
2020-04-12,86
2020-04-19,88
2020-04-26,83
2020-05-03,83
2020-05-10,85
2020-05-17,81
2020-05-24,97
2020-05-31,96
2020-06-07,99
2020-06-14,90
2020-06-21,100
2020-06-28,86
2020-07-05,83
2020-07-12,92
2020-07-19,82
2020-07-26,98
2020-08-02,91
2020-08-09,86
2020-08-16,88
2020-08-23,82
2020-08-30,90
2020-09-06,75
2020-09-13,87
2020-09-20,83
2020-09-27,79
2020-10-04,78
2020-10-11,79
2020-10-18,78
2020-10-25,80
2020-11-01,86
2020-11-08,85
2020-11-15,82
2020-11-22,74
2020-11-29,85
2020-12-06,83
2020-12-13,78
2020-12-20,75
2020-12-27,88
2021-01-03,87
2021-01-10,86
2021-01-17,80
2021-01-24,78
2021-01-31,74
2021-02-07,78
2021-02-14,81
2021-02-21,76
2021-02-28,72
2021-03-07,76
2021-03-14,86
2021-03-21,86
2021-03-28,80
2021-04-04,80
2021-04-11,69
2021-04-18,66
2021-04-25,73
2021-05-02,70
2021-05-09,66
2021-05-16,68
2021-05-23,79
2021-05-30,74
2021-06-06,85
2021-06-13,73
2021-06-20,77
2021-06-27,76
2021-07-04,73
2021-07-11,76
2021-07-18,79
2021-07-25,74
2021-08-01,75
2021-08-08,78
2021-08-15,74
2021-08-22,71
2021-08-29,71
