date,Collecting_TR
2020-03-15,43
2020-03-22,14
2020-03-29,41
2020-04-05,27
2020-04-12,14
2020-04-19,14
2020-04-26,42
2020-05-03,40
2020-05-10,43
2020-05-17,29
2020-05-24,30
2020-05-31,28
2020-06-07,29
2020-06-14,44
2020-06-21,0
2020-06-28,48
2020-07-05,16
2020-07-12,34
2020-07-19,17
2020-07-26,36
2020-08-02,34
2020-08-09,48
2020-08-16,0
2020-08-23,32
2020-08-30,76
2020-09-06,15
2020-09-13,0
2020-09-20,59
2020-09-27,0
2020-10-04,15
2020-10-11,31
2020-10-18,0
2020-10-25,15
2020-11-01,74
2020-11-08,15
2020-11-15,0
2020-11-22,43
2020-11-29,57
2020-12-06,100
2020-12-13,57
2020-12-20,29
2020-12-27,15
2021-01-03,14
2021-01-10,42
2021-01-17,71
2021-01-24,60
2021-01-31,16
2021-02-07,62
2021-02-14,14
2021-02-21,45
2021-02-28,45
2021-03-07,30
2021-03-14,57
2021-03-21,29
2021-03-28,46
2021-04-04,44
2021-04-11,15
2021-04-18,44
2021-04-25,30
2021-05-02,14
2021-05-09,33
2021-05-16,16
2021-05-23,0
2021-05-30,0
2021-06-06,17
2021-06-13,81
2021-06-20,17
2021-06-27,34
2021-07-04,70
2021-07-11,37
2021-07-18,22
2021-07-25,0
2021-08-01,52
2021-08-08,52
2021-08-15,35
2021-08-22,37
2021-08-29,18
