date,Crafts_TH
2020-03-15,57
2020-03-22,41
2020-03-29,52
2020-04-05,60
2020-04-12,52
2020-04-19,46
2020-04-26,74
2020-05-03,46
2020-05-10,45
2020-05-17,52
2020-05-24,51
2020-05-31,57
2020-06-07,48
2020-06-14,45
2020-06-21,43
2020-06-28,50
2020-07-05,71
2020-07-12,77
2020-07-19,70
2020-07-26,57
2020-08-02,98
2020-08-09,61
2020-08-16,68
2020-08-23,75
2020-08-30,82
2020-09-06,83
2020-09-13,76
2020-09-20,85
2020-09-27,64
2020-10-04,82
2020-10-11,73
2020-10-18,76
2020-10-25,72
2020-11-01,63
2020-11-08,76
2020-11-15,44
2020-11-22,57
2020-11-29,69
2020-12-06,75
2020-12-13,73
2020-12-20,77
2020-12-27,79
2021-01-03,83
2021-01-10,100
2021-01-17,82
2021-01-24,83
2021-01-31,92
2021-02-07,63
2021-02-14,71
2021-02-21,58
2021-02-28,72
2021-03-07,71
2021-03-14,74
2021-03-21,76
2021-03-28,43
2021-04-04,42
2021-04-11,44
2021-04-18,43
2021-04-25,59
2021-05-02,39
2021-05-09,46
2021-05-16,43
2021-05-23,38
2021-05-30,47
2021-06-06,76
2021-06-13,58
2021-06-20,51
2021-06-27,58
2021-07-04,65
2021-07-11,51
2021-07-18,54
2021-07-25,64
2021-08-01,48
2021-08-08,60
2021-08-15,63
2021-08-22,66
2021-08-29,52
