date,Performing_Art_IT
2020-03-15,0
2020-03-22,17
2020-03-29,18
2020-04-05,0
2020-04-12,93
2020-04-19,35
2020-04-26,0
2020-05-03,56
2020-05-10,53
2020-05-17,19
2020-05-24,0
2020-05-31,38
2020-06-07,38
2020-06-14,20
2020-06-21,21
2020-06-28,0
2020-07-05,21
2020-07-12,0
2020-07-19,43
2020-07-26,43
2020-08-02,43
2020-08-09,46
2020-08-16,23
2020-08-23,42
2020-08-30,0
2020-09-06,61
2020-09-13,41
2020-09-20,77
2020-09-27,20
2020-10-04,41
2020-10-11,21
2020-10-18,42
2020-10-25,62
2020-11-01,39
2020-11-08,40
2020-11-15,100
2020-11-22,20
2020-11-29,20
2020-12-06,20
2020-12-13,41
2020-12-20,23
2020-12-27,22
2021-01-03,0
2021-01-10,41
2021-01-17,41
2021-01-24,41
2021-01-31,21
2021-02-07,20
2021-02-14,0
2021-02-21,64
2021-02-28,21
2021-03-07,41
2021-03-14,19
2021-03-21,62
2021-03-28,22
2021-04-04,87
2021-04-11,62
2021-04-18,84
2021-04-25,21
2021-05-02,22
2021-05-09,21
2021-05-16,21
2021-05-23,43
2021-05-30,23
2021-06-06,66
2021-06-13,46
2021-06-20,47
2021-06-27,23
2021-07-04,0
2021-07-11,68
2021-07-18,24
2021-07-25,46
2021-08-01,23
2021-08-08,25
2021-08-15,49
2021-08-22,0
2021-08-29,24
