date,Game_NG
2018-01-07,71
2018-01-14,61
2018-01-21,56
2018-01-28,63
2018-02-04,65
2018-02-11,59
2018-02-18,63
2018-02-25,65
2018-03-04,68
2018-03-11,61
2018-03-18,61
2018-03-25,68
2018-04-01,67
2018-04-08,69
2018-04-15,73
2018-04-22,66
2018-04-29,64
2018-05-06,63
2018-05-13,58
2018-05-20,70
2018-05-27,63
2018-06-03,68
2018-06-10,72
2018-06-17,64
2018-06-24,62
2018-07-01,61
2018-07-08,61
2018-07-15,61
2018-07-22,65
2018-07-29,67
2018-08-05,60
2018-08-12,68
2018-08-19,75
2018-08-26,73
2018-09-02,75
2018-09-09,67
2018-09-16,64
2018-09-23,60
2018-09-30,63
2018-10-07,65
2018-10-14,62
2018-10-21,67
2018-10-28,61
2018-11-04,60
2018-11-11,67
2018-11-18,71
2018-11-25,60
2018-12-02,66
2018-12-09,74
2018-12-16,78
2018-12-23,85
2018-12-30,74
2019-01-06,68
2019-01-13,63
2019-01-20,61
2019-01-27,65
2019-02-03,61
2019-02-10,70
2019-02-17,71
2019-02-24,62
2019-03-03,68
2019-03-10,63
2019-03-17,65
2019-03-24,59
2019-03-31,74
2019-04-07,73
2019-04-14,75
2019-04-21,74
2019-04-28,77
2019-05-05,62
2019-05-12,71
2019-05-19,67
2019-05-26,73
2019-06-02,80
2019-06-09,71
2019-06-16,71
2019-06-23,65
2019-06-30,68
2019-07-07,63
2019-07-14,73
2019-07-21,83
2019-07-28,78
2019-08-04,73
2019-08-11,91
2019-08-18,82
2019-08-25,97
2019-09-01,83
2019-09-08,80
2019-09-15,71
2019-09-22,68
2019-09-29,72
2019-10-06,65
2019-10-13,68
2019-10-20,68
2019-10-27,67
2019-11-03,70
2019-11-10,72
2019-11-17,62
2019-11-24,68
2019-12-01,78
2019-12-08,78
2019-12-15,89
2019-12-22,100
2019-12-29,92
2020-01-05,80
2020-01-12,68
2020-01-19,62
2020-01-26,66
2020-02-02,67
2020-02-09,68
2020-02-16,76
2020-02-23,75
2020-03-01,66
2020-03-08,61
