date,Music_MX
2018-01-07,100
2018-01-14,97
2018-01-21,99
2018-01-28,93
2018-02-04,100
2018-02-11,98
2018-02-18,100
2018-02-25,96
2018-03-04,92
2018-03-11,95
2018-03-18,97
2018-03-25,97
2018-04-01,87
2018-04-08,92
2018-04-15,94
2018-04-22,90
2018-04-29,91
2018-05-06,95
2018-05-13,91
2018-05-20,92
2018-05-27,89
2018-06-03,93
2018-06-10,90
2018-06-17,85
2018-06-24,82
2018-07-01,81
2018-07-08,84
2018-07-15,91
2018-07-22,88
2018-07-29,87
2018-08-05,87
2018-08-12,87
2018-08-19,89
2018-08-26,87
2018-09-02,89
2018-09-09,95
2018-09-16,89
2018-09-23,88
2018-09-30,87
2018-10-07,89
2018-10-14,87
2018-10-21,84
2018-10-28,83
2018-11-04,82
2018-11-11,80
2018-11-18,84
2018-11-25,76
2018-12-02,79
2018-12-09,81
2018-12-16,82
2018-12-23,86
2018-12-30,80
2019-01-06,77
2019-01-13,76
2019-01-20,78
2019-01-27,74
2019-02-03,77
2019-02-10,77
2019-02-17,76
2019-02-24,75
2019-03-03,75
2019-03-10,75
2019-03-17,77
2019-03-24,81
2019-03-31,75
2019-04-07,74
2019-04-14,77
2019-04-21,71
2019-04-28,74
2019-05-05,75
2019-05-12,73
2019-05-19,75
2019-05-26,73
2019-06-02,75
2019-06-09,76
2019-06-16,76
2019-06-23,75
2019-06-30,72
2019-07-07,72
2019-07-14,71
2019-07-21,72
2019-07-28,71
2019-08-04,71
2019-08-11,70
2019-08-18,70
2019-08-25,69
2019-09-01,71
2019-09-08,71
2019-09-15,67
2019-09-22,69
2019-09-29,66
2019-10-06,67
2019-10-13,67
2019-10-20,68
2019-10-27,62
2019-11-03,64
2019-11-10,67
2019-11-17,68
2019-11-24,66
2019-12-01,65
2019-12-08,65
2019-12-15,68
2019-12-22,69
2019-12-29,61
2020-01-05,60
2020-01-12,63
2020-01-19,62
2020-01-26,62
2020-02-02,61
2020-02-09,58
2020-02-16,60
2020-02-23,60
2020-03-01,62
2020-03-08,58
