date,Learning_DE
2020-03-15,72
2020-03-22,91
2020-03-29,85
2020-04-05,89
2020-04-12,92
2020-04-19,87
2020-04-26,87
2020-05-03,100
2020-05-10,98
2020-05-17,89
2020-05-24,91
2020-05-31,87
2020-06-07,81
2020-06-14,76
2020-06-21,82
2020-06-28,93
2020-07-05,85
2020-07-12,88
2020-07-19,87
2020-07-26,78
2020-08-02,87
2020-08-09,82
2020-08-16,73
2020-08-23,83
2020-08-30,74
2020-09-06,75
2020-09-13,83
2020-09-20,91
2020-09-27,83
2020-10-04,70
2020-10-11,76
2020-10-18,78
2020-10-25,81
2020-11-01,81
2020-11-08,84
2020-11-15,88
2020-11-22,83
2020-11-29,79
2020-12-06,74
2020-12-13,71
2020-12-20,67
2020-12-27,64
2021-01-03,75
2021-01-10,95
2021-01-17,82
2021-01-24,80
2021-01-31,90
2021-02-07,82
2021-02-14,88
2021-02-21,76
2021-02-28,73
2021-03-07,85
2021-03-14,62
2021-03-21,73
2021-03-28,64
2021-04-04,76
2021-04-11,80
2021-04-18,73
2021-04-25,81
2021-05-02,68
2021-05-09,67
2021-05-16,65
2021-05-23,83
2021-05-30,65
2021-06-06,77
2021-06-13,63
2021-06-20,66
2021-06-27,70
2021-07-04,72
2021-07-11,73
2021-07-18,72
2021-07-25,66
2021-08-01,64
2021-08-08,63
2021-08-15,61
2021-08-22,64
2021-08-29,75
