date,Game_ZA
2018-01-07,60
2018-01-14,53
2018-01-21,52
2018-01-28,59
2018-02-04,55
2018-02-11,55
2018-02-18,58
2018-02-25,59
2018-03-04,56
2018-03-11,55
2018-03-18,58
2018-03-25,69
2018-04-01,68
2018-04-08,57
2018-04-15,54
2018-04-22,60
2018-04-29,60
2018-05-06,51
2018-05-13,56
2018-05-20,57
2018-05-27,51
2018-06-03,58
2018-06-10,63
2018-06-17,74
2018-06-24,72
2018-07-01,66
2018-07-08,62
2018-07-15,58
2018-07-22,54
2018-07-29,56
2018-08-05,61
2018-08-12,56
2018-08-19,56
2018-08-26,55
2018-09-02,55
2018-09-09,61
2018-09-16,62
2018-09-23,62
2018-09-30,68
2018-10-07,55
2018-10-14,56
2018-10-21,57
2018-10-28,60
2018-11-04,67
2018-11-11,68
2018-11-18,100
2018-11-25,73
2018-12-02,79
2018-12-09,77
2018-12-16,75
2018-12-23,69
2018-12-30,66
2019-01-06,57
2019-01-13,58
2019-01-20,56
2019-01-27,58
2019-02-03,59
2019-02-10,57
2019-02-17,59
2019-02-24,62
2019-03-03,59
2019-03-10,58
2019-03-17,62
2019-03-24,66
2019-03-31,62
2019-04-07,60
2019-04-14,60
2019-04-21,66
2019-04-28,61
2019-05-05,57
2019-05-12,54
2019-05-19,54
2019-05-26,60
2019-06-02,60
2019-06-09,62
2019-06-16,62
2019-06-23,61
2019-06-30,66
2019-07-07,62
2019-07-14,58
2019-07-21,63
2019-07-28,62
2019-08-04,63
2019-08-11,59
2019-08-18,62
2019-08-25,63
2019-09-01,60
2019-09-08,58
2019-09-15,69
2019-09-22,70
2019-09-29,66
2019-10-06,60
2019-10-13,60
2019-10-20,65
2019-10-27,72
2019-11-03,65
2019-11-10,67
2019-11-17,66
2019-11-24,91
2019-12-01,74
2019-12-08,69
2019-12-15,73
2019-12-22,76
2019-12-29,72
2020-01-05,62
2020-01-12,59
2020-01-19,60
2020-01-26,61
2020-02-02,56
2020-02-09,57
2020-02-16,58
2020-02-23,62
2020-03-01,55
2020-03-08,57
