date,Pets_BD
2020-03-15,50
2020-03-22,63
2020-03-29,56
2020-04-05,47
2020-04-12,58
2020-04-19,69
2020-04-26,76
2020-05-03,51
2020-05-10,68
2020-05-17,78
2020-05-24,76
2020-05-31,47
2020-06-07,56
2020-06-14,87
2020-06-21,90
2020-06-28,80
2020-07-05,68
2020-07-12,42
2020-07-19,68
2020-07-26,93
2020-08-02,47
2020-08-09,53
2020-08-16,71
2020-08-23,63
2020-08-30,82
2020-09-06,76
2020-09-13,92
2020-09-20,83
2020-09-27,45
2020-10-04,71
2020-10-11,83
2020-10-18,99
2020-10-25,92
2020-11-01,79
2020-11-08,76
2020-11-15,67
2020-11-22,64
2020-11-29,68
2020-12-06,79
2020-12-13,52
2020-12-20,62
2020-12-27,50
2021-01-03,66
2021-01-10,86
2021-01-17,70
2021-01-24,77
2021-01-31,49
2021-02-07,61
2021-02-14,68
2021-02-21,95
2021-02-28,38
2021-03-07,95
2021-03-14,66
2021-03-21,75
2021-03-28,69
2021-04-04,47
2021-04-11,67
2021-04-18,75
2021-04-25,100
2021-05-02,51
2021-05-09,74
2021-05-16,52
2021-05-23,76
2021-05-30,77
2021-06-06,96
2021-06-13,62
2021-06-20,80
2021-06-27,65
2021-07-04,95
2021-07-11,81
2021-07-18,91
2021-07-25,57
2021-08-01,76
2021-08-08,97
2021-08-15,87
2021-08-22,100
2021-08-29,89
