date,Game_CL
2018-01-07,77
2018-01-14,80
2018-01-21,75
2018-01-28,80
2018-02-04,83
2018-02-11,83
2018-02-18,79
2018-02-25,76
2018-03-04,64
2018-03-11,67
2018-03-18,72
2018-03-25,78
2018-04-01,69
2018-04-08,73
2018-04-15,72
2018-04-22,76
2018-04-29,84
2018-05-06,76
2018-05-13,75
2018-05-20,85
2018-05-27,85
2018-06-03,92
2018-06-10,90
2018-06-17,91
2018-06-24,97
2018-07-01,100
2018-07-08,92
2018-07-15,91
2018-07-22,86
2018-07-29,83
2018-08-05,82
2018-08-12,80
2018-08-19,74
2018-08-26,79
2018-09-02,75
2018-09-09,80
2018-09-16,94
2018-09-23,74
2018-09-30,76
2018-10-07,74
2018-10-14,77
2018-10-21,70
2018-10-28,80
2018-11-04,73
2018-11-11,74
2018-11-18,75
2018-11-25,74
2018-12-02,72
2018-12-09,72
2018-12-16,70
2018-12-23,71
2018-12-30,66
2019-01-06,58
2019-01-13,62
2019-01-20,61
2019-01-27,72
2019-02-03,64
2019-02-10,50
2019-02-17,50
2019-02-24,46
2019-03-03,48
2019-03-10,49
2019-03-17,49
2019-03-24,54
2019-03-31,57
2019-04-07,64
2019-04-14,70
2019-04-21,68
2019-04-28,69
2019-05-05,64
2019-05-12,65
2019-05-19,69
2019-05-26,65
2019-06-02,71
2019-06-09,80
2019-06-16,91
2019-06-23,89
2019-06-30,87
2019-07-07,74
2019-07-14,76
2019-07-21,72
2019-07-28,85
2019-08-04,79
2019-08-11,79
2019-08-18,72
2019-08-25,68
2019-09-01,71
2019-09-08,74
2019-09-15,78
2019-09-22,64
2019-09-29,64
2019-10-06,68
2019-10-13,63
2019-10-20,61
2019-10-27,64
2019-11-03,59
2019-11-10,60
2019-11-17,62
2019-11-24,64
2019-12-01,66
2019-12-08,68
2019-12-15,66
2019-12-22,68
2019-12-29,60
2020-01-05,56
2020-01-12,58
2020-01-19,59
2020-01-26,62
2020-02-02,58
2020-02-09,59
2020-02-16,62
2020-02-23,57
2020-03-01,57
2020-03-08,58
