date,Game_PE
2018-01-07,95
2018-01-14,96
2018-01-21,100
2018-01-28,96
2018-02-04,89
2018-02-11,92
2018-02-18,91
2018-02-25,92
2018-03-04,84
2018-03-11,71
2018-03-18,68
2018-03-25,86
2018-04-01,63
2018-04-08,67
2018-04-15,64
2018-04-22,63
2018-04-29,72
2018-05-06,71
2018-05-13,69
2018-05-20,66
2018-05-27,75
2018-06-03,78
2018-06-10,75
2018-06-17,76
2018-06-24,75
2018-07-01,67
2018-07-08,62
2018-07-15,63
2018-07-22,70
2018-07-29,81
2018-08-05,72
2018-08-12,63
2018-08-19,61
2018-08-26,69
2018-09-02,69
2018-09-09,60
2018-09-16,60
2018-09-23,61
2018-09-30,62
2018-10-07,71
2018-10-14,69
2018-10-21,62
2018-10-28,74
2018-11-04,66
2018-11-11,67
2018-11-18,68
2018-11-25,65
2018-12-02,68
2018-12-09,65
2018-12-16,74
2018-12-23,79
2018-12-30,76
2019-01-06,67
2019-01-13,65
2019-01-20,69
2019-01-27,64
2019-02-03,64
2019-02-10,59
2019-02-17,61
2019-02-24,57
2019-03-03,54
2019-03-10,50
2019-03-17,47
2019-03-24,46
2019-03-31,56
2019-04-07,54
2019-04-14,65
2019-04-21,57
2019-04-28,57
2019-05-05,55
2019-05-12,57
2019-05-19,55
2019-05-26,56
2019-06-02,62
2019-06-09,66
2019-06-16,77
2019-06-23,69
2019-06-30,75
2019-07-07,65
2019-07-14,58
2019-07-21,77
2019-07-28,98
2019-08-04,83
2019-08-11,70
2019-08-18,66
2019-08-25,64
2019-09-01,65
2019-09-08,60
2019-09-15,58
2019-09-22,59
2019-09-29,57
2019-10-06,69
2019-10-13,58
2019-10-20,58
2019-10-27,57
2019-11-03,56
2019-11-10,60
2019-11-17,58
2019-11-24,58
2019-12-01,58
2019-12-08,59
2019-12-15,67
2019-12-22,75
2019-12-29,65
2020-01-05,62
2020-01-12,59
2020-01-19,64
2020-01-26,58
2020-02-02,59
2020-02-09,63
2020-02-16,62
2020-02-23,61
2020-03-01,61
2020-03-08,60
