date,Sports_IR
2018-01-07,88
2018-01-14,77
2018-01-21,77
2018-01-28,81
2018-02-04,86
2018-02-11,84
2018-02-18,87
2018-02-25,79
2018-03-04,84
2018-03-11,79
2018-03-18,59
2018-03-25,69
2018-04-01,83
2018-04-08,73
2018-04-15,74
2018-04-22,84
2018-04-29,74
2018-05-06,74
2018-05-13,82
2018-05-20,81
2018-05-27,88
2018-06-03,92
2018-06-10,100
2018-06-17,98
2018-06-24,89
2018-07-01,75
2018-07-08,74
2018-07-15,73
2018-07-22,74
2018-07-29,73
2018-08-05,75
2018-08-12,75
2018-08-19,80
2018-08-26,83
2018-09-02,56
2018-09-09,65
2018-09-16,79
2018-09-23,77
2018-09-30,71
2018-10-07,69
2018-10-14,75
2018-10-21,81
2018-10-28,81
2018-11-04,81
2018-11-11,64
2018-11-18,70
2018-11-25,73
2018-12-02,76
2018-12-09,82
2018-12-16,68
2018-12-23,70
2018-12-30,74
2019-01-06,87
2019-01-13,80
2019-01-20,93
2019-01-27,62
2019-02-03,49
2019-02-10,49
2019-02-17,47
2019-02-24,50
2019-03-03,50
2019-03-10,52
2019-03-17,35
2019-03-24,42
2019-03-31,72
2019-04-07,79
2019-04-14,76
2019-04-21,78
2019-04-28,79
2019-05-05,76
2019-05-12,69
2019-05-19,64
2019-05-26,70
2019-06-02,79
2019-06-09,81
2019-06-16,85
2019-06-23,83
2019-06-30,73
2019-07-07,80
2019-07-14,75
2019-07-21,73
2019-07-28,63
2019-08-04,66
2019-08-11,69
2019-08-18,68
2019-08-25,69
2019-09-01,55
2019-09-08,59
2019-09-15,74
2019-09-22,75
2019-09-29,79
2019-10-06,66
2019-10-13,70
2019-10-20,80
2019-10-27,75
2019-11-03,79
2019-11-10,65
2019-11-17,71
2019-11-24,69
2019-12-01,73
2019-12-08,86
2019-12-15,72
2019-12-22,73
2019-12-29,64
2020-01-05,59
2020-01-12,66
2020-01-19,65
2020-01-26,75
2020-02-02,71
2020-02-09,60
2020-02-16,61
2020-02-23,61
2020-03-01,45
2020-03-08,41
