date,Cooking_CL
2020-03-15,56
2020-03-22,86
2020-03-29,81
2020-04-05,92
2020-04-12,70
2020-04-19,91
2020-04-26,76
2020-05-03,74
2020-05-10,82
2020-05-17,100
2020-05-24,74
2020-05-31,74
2020-06-07,80
2020-06-14,73
2020-06-21,68
2020-06-28,73
2020-07-05,68
2020-07-12,63
2020-07-19,69
2020-07-26,57
2020-08-02,56
2020-08-09,58
2020-08-16,51
2020-08-23,50
2020-08-30,47
2020-09-06,45
2020-09-13,84
2020-09-20,54
2020-09-27,61
2020-10-04,69
2020-10-11,66
2020-10-18,68
2020-10-25,54
2020-11-01,52
2020-11-08,57
2020-11-15,59
2020-11-22,66
2020-11-29,56
2020-12-06,48
2020-12-13,45
2020-12-20,70
2020-12-27,70
2021-01-03,48
2021-01-10,46
2021-01-17,54
2021-01-24,50
2021-01-31,51
2021-02-07,57
2021-02-14,54
2021-02-21,42
2021-02-28,37
2021-03-07,42
2021-03-14,42
2021-03-21,53
2021-03-28,59
2021-04-04,46
2021-04-11,59
2021-04-18,53
2021-04-25,50
2021-05-02,52
2021-05-09,55
2021-05-16,44
2021-05-23,47
2021-05-30,46
2021-06-06,41
2021-06-13,48
2021-06-20,53
2021-06-27,44
2021-07-04,37
2021-07-11,54
2021-07-18,52
2021-07-25,37
2021-08-01,52
2021-08-08,50
2021-08-15,47
2021-08-22,43
2021-08-29,45
