date,Game_EG
2020-03-15,62
2020-03-22,71
2020-03-29,72
2020-04-05,72
2020-04-12,71
2020-04-19,73
2020-04-26,88
2020-05-03,100
2020-05-10,72
2020-05-17,65
2020-05-24,60
2020-05-31,61
2020-06-07,64
2020-06-14,64
2020-06-21,60
2020-06-28,59
2020-07-05,58
2020-07-12,60
2020-07-19,59
2020-07-26,57
2020-08-02,49
2020-08-09,49
2020-08-16,48
2020-08-23,45
2020-08-30,45
2020-09-06,43
2020-09-13,44
2020-09-20,44
2020-09-27,39
2020-10-04,40
2020-10-11,39
2020-10-18,35
2020-10-25,36
2020-11-01,36
2020-11-08,36
2020-11-15,37
2020-11-22,35
2020-11-29,38
2020-12-06,38
2020-12-13,35
2020-12-20,38
2020-12-27,39
2021-01-03,46
2021-01-10,45
2021-01-17,43
2021-01-24,43
2021-01-31,39
2021-02-07,38
2021-02-14,38
2021-02-21,36
2021-02-28,39
2021-03-07,39
2021-03-14,35
2021-03-21,35
2021-03-28,36
2021-04-04,35
2021-04-11,37
2021-04-18,38
2021-04-25,41
2021-05-02,40
2021-05-09,37
2021-05-16,36
2021-05-23,36
2021-05-30,37
2021-06-06,38
2021-06-13,37
2021-06-20,35
2021-06-27,35
2021-07-04,36
2021-07-11,36
2021-07-18,38
2021-07-25,37
2021-08-01,38
2021-08-08,34
2021-08-15,31
2021-08-22,38
2021-08-29,37
