date,Collecting_CL
2020-03-15,46
2020-03-22,58
2020-03-29,46
2020-04-05,72
2020-04-12,33
2020-04-19,63
2020-04-26,76
2020-05-03,44
2020-05-10,45
2020-05-17,75
2020-05-24,36
2020-05-31,60
2020-06-07,69
2020-06-14,74
2020-06-21,48
2020-06-28,60
2020-07-05,60
2020-07-12,32
2020-07-19,65
2020-07-26,51
2020-08-02,52
2020-08-09,69
2020-08-16,43
2020-08-23,50
2020-08-30,45
2020-09-06,36
2020-09-13,68
2020-09-20,73
2020-09-27,48
2020-10-04,44
2020-10-11,70
2020-10-18,40
2020-10-25,45
2020-11-01,60
2020-11-08,57
2020-11-15,65
2020-11-22,57
2020-11-29,79
2020-12-06,50
2020-12-13,49
2020-12-20,60
2020-12-27,69
2021-01-03,100
2021-01-10,33
2021-01-17,49
2021-01-24,55
2021-01-31,48
2021-02-07,45
2021-02-14,35
2021-02-21,43
2021-02-28,26
2021-03-07,47
2021-03-14,55
2021-03-21,50
2021-03-28,43
2021-04-04,51
2021-04-11,54
2021-04-18,66
2021-04-25,66
2021-05-02,72
2021-05-09,62
2021-05-16,56
2021-05-23,47
2021-05-30,54
2021-06-06,97
2021-06-13,31
2021-06-20,77
2021-06-27,67
2021-07-04,49
2021-07-11,66
2021-07-18,70
2021-07-25,61
2021-08-01,83
2021-08-08,51
2021-08-15,75
2021-08-22,51
2021-08-29,68
