date,Learning_EG
2020-03-15,66
2020-03-22,52
2020-03-29,75
2020-04-05,64
2020-04-12,68
2020-04-19,45
2020-04-26,68
2020-05-03,71
2020-05-10,64
2020-05-17,65
2020-05-24,77
2020-05-31,100
2020-06-07,66
2020-06-14,59
2020-06-21,54
2020-06-28,50
2020-07-05,55
2020-07-12,57
2020-07-19,48
2020-07-26,55
2020-08-02,55
2020-08-09,55
2020-08-16,53
2020-08-23,53
2020-08-30,43
2020-09-06,57
2020-09-13,58
2020-09-20,54
2020-09-27,52
2020-10-04,49
2020-10-11,59
2020-10-18,60
2020-10-25,58
2020-11-01,57
2020-11-08,87
2020-11-15,61
2020-11-22,60
2020-11-29,51
2020-12-06,59
2020-12-13,56
2020-12-20,59
2020-12-27,59
2021-01-03,54
2021-01-10,59
2021-01-17,52
2021-01-24,41
2021-01-31,55
2021-02-07,49
2021-02-14,58
2021-02-21,44
2021-02-28,42
2021-03-07,30
2021-03-14,50
2021-03-21,38
2021-03-28,48
2021-04-04,55
2021-04-11,48
2021-04-18,53
2021-04-25,54
2021-05-02,45
2021-05-09,41
2021-05-16,53
2021-05-23,60
2021-05-30,56
2021-06-06,51
2021-06-13,55
2021-06-20,44
2021-06-27,52
2021-07-04,34
2021-07-11,58
2021-07-18,36
2021-07-25,40
2021-08-01,41
2021-08-08,45
2021-08-15,39
2021-08-22,48
2021-08-29,45
