date,Cooking_MY
2020-03-15,47
2020-03-22,64
2020-03-29,63
2020-04-05,72
2020-04-12,74
2020-04-19,84
2020-04-26,100
2020-05-03,81
2020-05-10,66
2020-05-17,68
2020-05-24,47
2020-05-31,44
2020-06-07,44
2020-06-14,41
2020-06-21,34
2020-06-28,33
2020-07-05,33
2020-07-12,31
2020-07-19,34
2020-07-26,34
2020-08-02,32
2020-08-09,34
2020-08-16,36
2020-08-23,29
2020-08-30,32
2020-09-06,31
2020-09-13,33
2020-09-20,32
2020-09-27,29
2020-10-04,33
2020-10-11,38
2020-10-18,36
2020-10-25,37
2020-11-01,37
2020-11-08,41
2020-11-15,40
2020-11-22,38
2020-11-29,36
2020-12-06,31
2020-12-13,35
2020-12-20,35
2020-12-27,31
2021-01-03,30
2021-01-10,35
2021-01-17,40
2021-01-24,42
2021-01-31,40
2021-02-07,42
2021-02-14,37
2021-02-21,34
2021-02-28,32
2021-03-07,29
2021-03-14,28
2021-03-21,29
2021-03-28,29
2021-04-04,29
2021-04-11,50
2021-04-18,49
2021-04-25,43
2021-05-02,39
2021-05-09,55
2021-05-16,37
2021-05-23,43
2021-05-30,48
2021-06-06,47
2021-06-13,45
2021-06-20,44
2021-06-27,40
2021-07-04,39
2021-07-11,40
2021-07-18,50
2021-07-25,38
2021-08-01,36
2021-08-08,39
2021-08-15,35
2021-08-22,37
2021-08-29,40
