date,Pets_PH
2018-01-07,50
2018-01-14,50
2018-01-21,60
2018-01-28,51
2018-02-04,59
2018-02-11,49
2018-02-18,64
2018-02-25,56
2018-03-04,63
2018-03-11,65
2018-03-18,49
2018-03-25,57
2018-04-01,54
2018-04-08,60
2018-04-15,45
2018-04-22,50
2018-04-29,43
2018-05-06,53
2018-05-13,57
2018-05-20,56
2018-05-27,37
2018-06-03,55
2018-06-10,48
2018-06-17,45
2018-06-24,60
2018-07-01,48
2018-07-08,52
2018-07-15,53
2018-07-22,57
2018-07-29,58
2018-08-05,54
2018-08-12,53
2018-08-19,51
2018-08-26,60
2018-09-02,54
2018-09-09,45
2018-09-16,58
2018-09-23,54
2018-09-30,55
2018-10-07,47
2018-10-14,54
2018-10-21,53
2018-10-28,72
2018-11-04,100
2018-11-11,87
2018-11-18,90
2018-11-25,80
2018-12-02,81
2018-12-09,89
2018-12-16,62
2018-12-23,92
2018-12-30,82
2019-01-06,68
2019-01-13,61
2019-01-20,55
2019-01-27,66
2019-02-03,77
2019-02-10,60
2019-02-17,60
2019-02-24,66
2019-03-03,67
2019-03-10,51
2019-03-17,64
2019-03-24,57
2019-03-31,59
2019-04-07,66
2019-04-14,66
2019-04-21,49
2019-04-28,75
2019-05-05,58
2019-05-12,63
2019-05-19,61
2019-05-26,59
2019-06-02,63
2019-06-09,54
2019-06-16,56
2019-06-23,67
2019-06-30,68
2019-07-07,55
2019-07-14,62
2019-07-21,70
2019-07-28,63
2019-08-04,56
2019-08-11,63
2019-08-18,60
2019-08-25,58
2019-09-01,55
2019-09-08,55
2019-09-15,59
2019-09-22,53
2019-09-29,64
2019-10-06,65
2019-10-13,74
2019-10-20,71
2019-10-27,69
2019-11-03,58
2019-11-10,55
2019-11-17,56
2019-11-24,66
2019-12-01,67
2019-12-08,63
2019-12-15,70
2019-12-22,82
2019-12-29,65
2020-01-05,70
2020-01-12,76
2020-01-19,68
2020-01-26,53
2020-02-02,61
2020-02-09,57
2020-02-16,72
2020-02-23,68
2020-03-01,72
2020-03-08,59
