date,Sports_SG
2020-03-15,46
2020-03-22,47
2020-03-29,39
2020-04-05,33
2020-04-12,43
2020-04-19,39
2020-04-26,43
2020-05-03,43
2020-05-10,34
2020-05-17,42
2020-05-24,36
2020-05-31,39
2020-06-07,45
2020-06-14,57
2020-06-21,64
2020-06-28,56
2020-07-05,61
2020-07-12,62
2020-07-19,61
2020-07-26,68
2020-08-02,70
2020-08-09,50
2020-08-16,64
2020-08-23,69
2020-08-30,63
2020-09-06,67
2020-09-13,68
2020-09-20,84
2020-09-27,81
2020-10-04,70
2020-10-11,68
2020-10-18,77
2020-10-25,77
2020-11-01,62
2020-11-08,63
2020-11-15,51
2020-11-22,78
2020-11-29,69
2020-12-06,63
2020-12-13,71
2020-12-20,72
2020-12-27,71
2021-01-03,67
2021-01-10,56
2021-01-17,64
2021-01-24,64
2021-01-31,64
2021-02-07,63
2021-02-14,58
2021-02-21,60
2021-02-28,67
2021-03-07,77
2021-03-14,68
2021-03-21,64
2021-03-28,64
2021-04-04,73
2021-04-11,70
2021-04-18,57
2021-04-25,68
2021-05-02,70
2021-05-09,79
2021-05-16,65
2021-05-23,65
2021-05-30,66
2021-06-06,67
2021-06-13,87
2021-06-20,80
2021-06-27,80
2021-07-04,72
2021-07-11,67
2021-07-18,68
2021-07-25,82
2021-08-01,100
2021-08-08,78
2021-08-15,65
2021-08-22,79
2021-08-29,70
