date,Cooking_NG
2020-03-15,77
2020-03-22,60
2020-03-29,66
2020-04-05,100
2020-04-12,87
2020-04-19,76
2020-04-26,73
2020-05-03,80
2020-05-10,95
2020-05-17,62
2020-05-24,85
2020-05-31,95
2020-06-07,65
2020-06-14,68
2020-06-21,75
2020-06-28,76
2020-07-05,58
2020-07-12,67
2020-07-19,79
2020-07-26,70
2020-08-02,72
2020-08-09,78
2020-08-16,68
2020-08-23,55
2020-08-30,53
2020-09-06,82
2020-09-13,58
2020-09-20,46
2020-09-27,60
2020-10-04,65
2020-10-11,63
2020-10-18,74
2020-10-25,58
2020-11-01,50
2020-11-08,47
2020-11-15,73
2020-11-22,54
2020-11-29,57
2020-12-06,52
2020-12-13,60
2020-12-20,65
2020-12-27,49
2021-01-03,44
2021-01-10,52
2021-01-17,80
2021-01-24,63
2021-01-31,64
2021-02-07,64
2021-02-14,47
2021-02-21,62
2021-02-28,54
2021-03-07,62
2021-03-14,67
2021-03-21,57
2021-03-28,68
2021-04-04,63
2021-04-11,58
2021-04-18,59
2021-04-25,70
2021-05-02,57
2021-05-09,55
2021-05-16,54
2021-05-23,52
2021-05-30,67
2021-06-06,58
2021-06-13,59
2021-06-20,79
2021-06-27,68
2021-07-04,69
2021-07-11,49
2021-07-18,75
2021-07-25,54
2021-08-01,76
2021-08-08,56
2021-08-15,71
2021-08-22,71
2021-08-29,59
