date,Cooking_IE
2020-03-15,20
2020-03-22,25
2020-03-29,31
2020-04-05,29
2020-04-12,37
2020-04-19,29
2020-04-26,28
2020-05-03,26
2020-05-10,27
2020-05-17,24
2020-05-24,23
2020-05-31,25
2020-06-07,24
2020-06-14,25
2020-06-21,22
2020-06-28,20
2020-07-05,20
2020-07-12,19
2020-07-19,20
2020-07-26,21
2020-08-02,22
2020-08-09,16
2020-08-16,19
2020-08-23,18
2020-08-30,23
2020-09-06,19
2020-09-13,19
2020-09-20,21
2020-09-27,20
2020-10-04,24
2020-10-11,23
2020-10-18,21
2020-10-25,28
2020-11-01,21
2020-11-08,27
2020-11-15,30
2020-11-22,29
2020-11-29,24
2020-12-06,24
2020-12-13,26
2020-12-20,100
2020-12-27,33
2021-01-03,20
2021-01-10,29
2021-01-17,29
2021-01-24,27
2021-01-31,29
2021-02-07,28
2021-02-14,28
2021-02-21,24
2021-02-28,20
2021-03-07,29
2021-03-14,25
2021-03-21,26
2021-03-28,27
2021-04-04,32
2021-04-11,24
2021-04-18,22
2021-04-25,19
2021-05-02,20
2021-05-09,19
2021-05-16,20
2021-05-23,19
2021-05-30,20
2021-06-06,13
2021-06-13,17
2021-06-20,19
2021-06-27,17
2021-07-04,21
2021-07-11,20
2021-07-18,16
2021-07-25,10
2021-08-01,21
2021-08-08,18
2021-08-15,20
2021-08-22,19
2021-08-29,18
