date,Cooking_RO
2020-03-15,42
2020-03-22,44
2020-03-29,50
2020-04-05,80
2020-04-12,79
2020-04-19,72
2020-04-26,81
2020-05-03,75
2020-05-10,67
2020-05-17,61
2020-05-24,67
2020-05-31,75
2020-06-07,60
2020-06-14,56
2020-06-21,56
2020-06-28,42
2020-07-05,50
2020-07-12,53
2020-07-19,66
2020-07-26,46
2020-08-02,52
2020-08-09,45
2020-08-16,60
2020-08-23,62
2020-08-30,57
2020-09-06,57
2020-09-13,60
2020-09-20,61
2020-09-27,51
2020-10-04,80
2020-10-11,65
2020-10-18,72
2020-10-25,73
2020-11-01,83
2020-11-08,87
2020-11-15,88
2020-11-22,82
2020-11-29,100
2020-12-06,87
2020-12-13,82
2020-12-20,100
2020-12-27,79
2021-01-03,87
2021-01-10,75
2021-01-17,62
2021-01-24,51
2021-01-31,65
2021-02-07,51
2021-02-14,71
2021-02-21,52
2021-02-28,61
2021-03-07,61
2021-03-14,65
2021-03-21,51
2021-03-28,59
2021-04-04,74
2021-04-11,63
2021-04-18,75
2021-04-25,76
2021-05-02,57
2021-05-09,58
2021-05-16,54
2021-05-23,63
2021-05-30,56
2021-06-06,47
2021-06-13,44
2021-06-20,40
2021-06-27,41
2021-07-04,45
2021-07-11,54
2021-07-18,44
2021-07-25,49
2021-08-01,65
2021-08-08,46
2021-08-15,49
2021-08-22,50
2021-08-29,56
