date,Game_AU
2020-03-15,32
2020-03-22,35
2020-03-29,36
2020-04-05,36
2020-04-12,32
2020-04-19,29
2020-04-26,99
2020-05-03,100
2020-05-10,35
2020-05-17,34
2020-05-24,30
2020-05-31,30
2020-06-07,33
2020-06-14,34
2020-06-21,33
2020-06-28,31
2020-07-05,26
2020-07-12,27
2020-07-19,30
2020-07-26,32
2020-08-02,32
2020-08-09,34
2020-08-16,33
2020-08-23,33
2020-08-30,31
2020-09-06,33
2020-09-13,32
2020-09-20,31
2020-09-27,27
2020-10-04,28
2020-10-11,27
2020-10-18,27
2020-10-25,27
2020-11-01,24
2020-11-08,35
2020-11-15,35
2020-11-22,26
2020-11-29,26
2020-12-06,28
2020-12-13,27
2020-12-20,27
2020-12-27,26
2021-01-03,22
2021-01-10,23
2021-01-17,21
2021-01-24,24
2021-01-31,23
2021-02-07,24
2021-02-14,26
2021-02-21,28
2021-02-28,25
2021-03-07,27
2021-03-14,29
2021-03-21,30
2021-03-28,30
2021-04-04,28
2021-04-11,27
2021-04-18,29
2021-04-25,29
2021-05-02,31
2021-05-09,31
2021-05-16,32
2021-05-23,32
2021-05-30,35
2021-06-06,36
2021-06-13,36
2021-06-20,40
2021-06-27,44
2021-07-04,32
2021-07-11,44
2021-07-18,38
2021-07-25,39
2021-08-01,38
2021-08-08,32
2021-08-15,32
2021-08-22,34
2021-08-29,32
