date,Game_DK
2018-01-07,72
2018-01-14,74
2018-01-21,83
2018-01-28,83
2018-02-04,81
2018-02-11,78
2018-02-18,66
2018-02-25,82
2018-03-04,100
2018-03-11,96
2018-03-18,89
2018-03-25,88
2018-04-01,74
2018-04-08,73
2018-04-15,69
2018-04-22,70
2018-04-29,67
2018-05-06,70
2018-05-13,63
2018-05-20,56
2018-05-27,63
2018-06-03,67
2018-06-10,81
2018-06-17,77
2018-06-24,70
2018-07-01,73
2018-07-08,64
2018-07-15,62
2018-07-22,62
2018-07-29,58
2018-08-05,65
2018-08-12,65
2018-08-19,69
2018-08-26,70
2018-09-02,68
2018-09-09,75
2018-09-16,68
2018-09-23,73
2018-09-30,72
2018-10-07,66
2018-10-14,71
2018-10-21,71
2018-10-28,73
2018-11-04,76
2018-11-11,65
2018-11-18,77
2018-11-25,73
2018-12-02,79
2018-12-09,84
2018-12-16,79
2018-12-23,77
2018-12-30,60
2019-01-06,64
2019-01-13,65
2019-01-20,68
2019-01-27,44
2019-02-03,40
2019-02-10,39
2019-02-17,40
2019-02-24,35
2019-03-03,35
2019-03-10,40
2019-03-17,39
2019-03-24,40
2019-03-31,58
2019-04-07,64
2019-04-14,73
2019-04-21,61
2019-04-28,63
2019-05-05,60
2019-05-12,64
2019-05-19,57
2019-05-26,65
2019-06-02,57
2019-06-09,69
2019-06-16,59
2019-06-23,62
2019-06-30,56
2019-07-07,61
2019-07-14,58
2019-07-21,59
2019-07-28,68
2019-08-04,64
2019-08-11,62
2019-08-18,67
2019-08-25,63
2019-09-01,60
2019-09-08,66
2019-09-15,66
2019-09-22,66
2019-09-29,66
2019-10-06,71
2019-10-13,62
2019-10-20,66
2019-10-27,73
2019-11-03,78
2019-11-10,80
2019-11-17,80
2019-11-24,73
2019-12-01,82
2019-12-08,87
2019-12-15,79
2019-12-22,86
2019-12-29,77
2020-01-05,74
2020-01-12,68
2020-01-19,73
2020-01-26,75
2020-02-02,79
2020-02-09,66
2020-02-16,67
2020-02-23,70
2020-03-01,66
2020-03-08,67
