date,Cooking_CO
2020-03-15,43
2020-03-22,68
2020-03-29,63
2020-04-05,100
2020-04-12,78
2020-04-19,71
2020-04-26,69
2020-05-03,65
2020-05-10,57
2020-05-17,60
2020-05-24,63
2020-05-31,53
2020-06-07,58
2020-06-14,62
2020-06-21,63
2020-06-28,64
2020-07-05,53
2020-07-12,58
2020-07-19,59
2020-07-26,40
2020-08-02,64
2020-08-09,52
2020-08-16,60
2020-08-23,63
2020-08-30,48
2020-09-06,44
2020-09-13,50
2020-09-20,36
2020-09-27,47
2020-10-04,57
2020-10-11,40
2020-10-18,41
2020-10-25,51
2020-11-01,51
2020-11-08,39
2020-11-15,54
2020-11-22,40
2020-11-29,45
2020-12-06,41
2020-12-13,28
2020-12-20,52
2020-12-27,48
2021-01-03,40
2021-01-10,54
2021-01-17,54
2021-01-24,47
2021-01-31,45
2021-02-07,53
2021-02-14,57
2021-02-21,37
2021-02-28,51
2021-03-07,39
2021-03-14,44
2021-03-21,53
2021-03-28,54
2021-04-04,50
2021-04-11,46
2021-04-18,53
2021-04-25,40
2021-05-02,45
2021-05-09,45
2021-05-16,36
2021-05-23,55
2021-05-30,38
2021-06-06,45
2021-06-13,45
2021-06-20,44
2021-06-27,35
2021-07-04,46
2021-07-11,46
2021-07-18,37
2021-07-25,51
2021-08-01,43
2021-08-08,54
2021-08-15,59
2021-08-22,51
2021-08-29,58
