date,Pets_PL
2020-03-15,53
2020-03-22,74
2020-03-29,67
2020-04-05,83
2020-04-12,83
2020-04-19,84
2020-04-26,91
2020-05-03,74
2020-05-10,69
2020-05-17,59
2020-05-24,64
2020-05-31,71
2020-06-07,76
2020-06-14,61
2020-06-21,57
2020-06-28,43
2020-07-05,44
2020-07-12,59
2020-07-19,57
2020-07-26,50
2020-08-02,46
2020-08-09,49
2020-08-16,61
2020-08-23,51
2020-08-30,44
2020-09-06,60
2020-09-13,75
2020-09-20,58
2020-09-27,48
2020-10-04,42
2020-10-11,57
2020-10-18,66
2020-10-25,62
2020-11-01,66
2020-11-08,79
2020-11-15,71
2020-11-22,89
2020-11-29,71
2020-12-06,100
2020-12-13,72
2020-12-20,65
2020-12-27,68
2021-01-03,62
2021-01-10,78
2021-01-17,96
2021-01-24,78
2021-01-31,94
2021-02-07,67
2021-02-14,69
2021-02-21,89
2021-02-28,93
2021-03-07,63
2021-03-14,80
2021-03-21,52
2021-03-28,79
2021-04-04,77
2021-04-11,92
2021-04-18,66
2021-04-25,72
2021-05-02,84
2021-05-09,75
2021-05-16,69
2021-05-23,53
2021-05-30,56
2021-06-06,57
2021-06-13,55
2021-06-20,50
2021-06-27,60
2021-07-04,51
2021-07-11,44
2021-07-18,63
2021-07-25,99
2021-08-01,84
2021-08-08,96
2021-08-15,77
2021-08-22,100
2021-08-29,75
