date,Pets_HK
2020-03-15,66
2020-03-22,63
2020-03-29,69
2020-04-05,74
2020-04-12,64
2020-04-19,59
2020-04-26,79
2020-05-03,77
2020-05-10,81
2020-05-17,66
2020-05-24,66
2020-05-31,51
2020-06-07,67
2020-06-14,48
2020-06-21,59
2020-06-28,65
2020-07-05,51
2020-07-12,72
2020-07-19,68
2020-07-26,62
2020-08-02,71
2020-08-09,62
2020-08-16,60
2020-08-23,77
2020-08-30,85
2020-09-06,77
2020-09-13,73
2020-09-20,70
2020-09-27,81
2020-10-04,58
2020-10-11,46
2020-10-18,69
2020-10-25,60
2020-11-01,49
2020-11-08,83
2020-11-15,73
2020-11-22,57
2020-11-29,63
2020-12-06,63
2020-12-13,67
2020-12-20,53
2020-12-27,73
2021-01-03,70
2021-01-10,67
2021-01-17,70
2021-01-24,70
2021-01-31,64
2021-02-07,59
2021-02-14,74
2021-02-21,74
2021-02-28,76
2021-03-07,85
2021-03-14,91
2021-03-21,82
2021-03-28,68
2021-04-04,72
2021-04-11,100
2021-04-18,83
2021-04-25,86
2021-05-02,92
2021-05-09,72
2021-05-16,61
2021-05-23,74
2021-05-30,75
2021-06-06,93
2021-06-13,90
2021-06-20,60
2021-06-27,81
2021-07-04,80
2021-07-11,70
2021-07-18,71
2021-07-25,70
2021-08-01,78
2021-08-08,90
2021-08-15,86
2021-08-22,72
2021-08-29,82
