date,Crafts_AU
2018-01-07,56
2018-01-14,56
2018-01-21,63
2018-01-28,63
2018-02-04,68
2018-02-11,66
2018-02-18,57
2018-02-25,62
2018-03-04,67
2018-03-11,72
2018-03-18,74
2018-03-25,84
2018-04-01,65
2018-04-08,67
2018-04-15,72
2018-04-22,66
2018-04-29,67
2018-05-06,71
2018-05-13,68
2018-05-20,66
2018-05-27,62
2018-06-03,77
2018-06-10,67
2018-06-17,81
2018-06-24,66
2018-07-01,66
2018-07-08,63
2018-07-15,68
2018-07-22,76
2018-07-29,75
2018-08-05,71
2018-08-12,77
2018-08-19,73
2018-08-26,78
2018-09-02,67
2018-09-09,69
2018-09-16,64
2018-09-23,60
2018-09-30,75
2018-10-07,67
2018-10-14,67
2018-10-21,78
2018-10-28,77
2018-11-04,90
2018-11-11,82
2018-11-18,83
2018-11-25,100
2018-12-02,90
2018-12-09,79
2018-12-16,67
2018-12-23,52
2018-12-30,57
2019-01-06,56
2019-01-13,60
2019-01-20,66
2019-01-27,61
2019-02-03,70
2019-02-10,75
2019-02-17,71
2019-02-24,63
2019-03-03,66
2019-03-10,59
2019-03-17,64
2019-03-24,68
2019-03-31,82
2019-04-07,80
2019-04-14,74
2019-04-21,78
2019-04-28,79
2019-05-05,78
2019-05-12,64
2019-05-19,63
2019-05-26,65
2019-06-02,65
2019-06-09,68
2019-06-16,78
2019-06-23,65
2019-06-30,70
2019-07-07,70
2019-07-14,71
2019-07-21,67
2019-07-28,70
2019-08-04,65
2019-08-11,75
2019-08-18,75
2019-08-25,89
2019-09-01,75
2019-09-08,74
2019-09-15,63
2019-09-22,70
2019-09-29,72
2019-10-06,75
2019-10-13,77
2019-10-20,75
2019-10-27,74
2019-11-03,73
2019-11-10,76
2019-11-17,80
2019-11-24,84
2019-12-01,97
2019-12-08,86
2019-12-15,72
2019-12-22,56
2019-12-29,52
2020-01-05,59
2020-01-12,65
2020-01-19,56
2020-01-26,50
2020-02-02,60
2020-02-09,68
2020-02-16,65
2020-02-23,63
2020-03-01,70
2020-03-08,65
