date,Pets_MX
2020-03-15,61
2020-03-22,62
2020-03-29,70
2020-04-05,67
2020-04-12,71
2020-04-19,69
2020-04-26,67
2020-05-03,64
2020-05-10,68
2020-05-17,75
2020-05-24,75
2020-05-31,91
2020-06-07,78
2020-06-14,78
2020-06-21,65
2020-06-28,70
2020-07-05,71
2020-07-12,81
2020-07-19,82
2020-07-26,84
2020-08-02,80
2020-08-09,82
2020-08-16,95
2020-08-23,68
2020-08-30,70
2020-09-06,78
2020-09-13,72
2020-09-20,74
2020-09-27,69
2020-10-04,71
2020-10-11,78
2020-10-18,73
2020-10-25,88
2020-11-01,75
2020-11-08,82
2020-11-15,80
2020-11-22,88
2020-11-29,94
2020-12-06,87
2020-12-13,79
2020-12-20,84
2020-12-27,75
2021-01-03,83
2021-01-10,76
2021-01-17,83
2021-01-24,82
2021-01-31,75
2021-02-07,76
2021-02-14,67
2021-02-21,86
2021-02-28,83
2021-03-07,80
2021-03-14,86
2021-03-21,100
2021-03-28,90
2021-04-04,78
2021-04-11,91
2021-04-18,78
2021-04-25,83
2021-05-02,76
2021-05-09,77
2021-05-16,77
2021-05-23,87
2021-05-30,77
2021-06-06,76
2021-06-13,80
2021-06-20,79
2021-06-27,72
2021-07-04,82
2021-07-11,89
2021-07-18,91
2021-07-25,83
2021-08-01,74
2021-08-08,77
2021-08-15,71
2021-08-22,100
2021-08-29,73
