date,Pets_NZ
2020-03-15,55
2020-03-22,82
2020-03-29,62
2020-04-05,71
2020-04-12,67
2020-04-19,59
2020-04-26,77
2020-05-03,81
2020-05-10,81
2020-05-17,89
2020-05-24,86
2020-05-31,58
2020-06-07,81
2020-06-14,85
2020-06-21,83
2020-06-28,76
2020-07-05,84
2020-07-12,70
2020-07-19,72
2020-07-26,68
2020-08-02,77
2020-08-09,81
2020-08-16,78
2020-08-23,76
2020-08-30,78
2020-09-06,77
2020-09-13,75
2020-09-20,76
2020-09-27,74
2020-10-04,90
2020-10-11,81
2020-10-18,88
2020-10-25,73
2020-11-01,65
2020-11-08,80
2020-11-15,100
2020-11-22,72
2020-11-29,70
2020-12-06,83
2020-12-13,85
2020-12-20,90
2020-12-27,81
2021-01-03,89
2021-01-10,78
2021-01-17,84
2021-01-24,74
2021-01-31,79
2021-02-07,67
2021-02-14,65
2021-02-21,61
2021-02-28,85
2021-03-07,68
2021-03-14,60
2021-03-21,82
2021-03-28,74
2021-04-04,78
2021-04-11,76
2021-04-18,76
2021-04-25,83
2021-05-02,78
2021-05-09,68
2021-05-16,79
2021-05-23,83
2021-05-30,84
2021-06-06,83
2021-06-13,84
2021-06-20,77
2021-06-27,87
2021-07-04,79
2021-07-11,81
2021-07-18,86
2021-07-25,65
2021-08-01,67
2021-08-08,88
2021-08-15,70
2021-08-22,81
2021-08-29,72
