date,Pets_PE
2020-03-15,66
2020-03-22,50
2020-03-29,37
2020-04-05,50
2020-04-12,51
2020-04-19,88
2020-04-26,41
2020-05-03,49
2020-05-10,43
2020-05-17,53
2020-05-24,49
2020-05-31,100
2020-06-07,73
2020-06-14,55
2020-06-21,56
2020-06-28,58
2020-07-05,66
2020-07-12,58
2020-07-19,74
2020-07-26,60
2020-08-02,56
2020-08-09,60
2020-08-16,70
2020-08-23,58
2020-08-30,69
2020-09-06,64
2020-09-13,61
2020-09-20,64
2020-09-27,60
2020-10-04,53
2020-10-11,56
2020-10-18,60
2020-10-25,65
2020-11-01,68
2020-11-08,54
2020-11-15,53
2020-11-22,70
2020-11-29,58
2020-12-06,68
2020-12-13,69
2020-12-20,66
2020-12-27,55
2021-01-03,76
2021-01-10,63
2021-01-17,73
2021-01-24,59
2021-01-31,62
2021-02-07,47
2021-02-14,54
2021-02-21,74
2021-02-28,55
2021-03-07,56
2021-03-14,54
2021-03-21,61
2021-03-28,58
2021-04-04,61
2021-04-11,47
2021-04-18,62
2021-04-25,52
2021-05-02,53
2021-05-09,59
2021-05-16,60
2021-05-23,48
2021-05-30,63
2021-06-06,49
2021-06-13,70
2021-06-20,73
2021-06-27,60
2021-07-04,65
2021-07-11,65
2021-07-18,58
2021-07-25,65
2021-08-01,78
2021-08-08,72
2021-08-15,74
2021-08-22,86
2021-08-29,73
