date,Sports_GB
2020-03-15,39
2020-03-22,32
2020-03-29,31
2020-04-05,31
2020-04-12,32
2020-04-19,33
2020-04-26,34
2020-05-03,34
2020-05-10,35
2020-05-17,35
2020-05-24,35
2020-05-31,33
2020-06-07,36
2020-06-14,63
2020-06-21,71
2020-06-28,70
2020-07-05,77
2020-07-12,87
2020-07-19,75
2020-07-26,67
2020-08-02,68
2020-08-09,68
2020-08-16,65
2020-08-23,65
2020-08-30,63
2020-09-06,71
2020-09-13,82
2020-09-20,79
2020-09-27,83
2020-10-04,75
2020-10-11,73
2020-10-18,82
2020-10-25,79
2020-11-01,76
2020-11-08,64
2020-11-15,60
2020-11-22,72
2020-11-29,79
2020-12-06,80
2020-12-13,80
2020-12-20,80
2020-12-27,87
2021-01-03,68
2021-01-10,74
2021-01-17,78
2021-01-24,80
2021-01-31,83
2021-02-07,81
2021-02-14,81
2021-02-21,76
2021-02-28,78
2021-03-07,78
2021-03-14,81
2021-03-21,69
2021-03-28,66
2021-04-04,79
2021-04-11,81
2021-04-18,90
2021-04-25,81
2021-05-02,86
2021-05-09,79
2021-05-16,78
2021-05-23,72
2021-05-30,66
2021-06-06,77
2021-06-13,97
2021-06-20,87
2021-06-27,97
2021-07-04,78
2021-07-11,66
2021-07-18,62
2021-07-25,75
2021-08-01,94
2021-08-08,85
2021-08-15,82
2021-08-22,100
2021-08-29,88
