date,Game_DK
2020-03-15,47
2020-03-22,45
2020-03-29,46
2020-04-05,47
2020-04-12,42
2020-04-19,39
2020-04-26,100
2020-05-03,98
2020-05-10,42
2020-05-17,42
2020-05-24,40
2020-05-31,39
2020-06-07,42
2020-06-14,38
2020-06-21,39
2020-06-28,39
2020-07-05,43
2020-07-12,39
2020-07-19,38
2020-07-26,39
2020-08-02,38
2020-08-09,42
2020-08-16,40
2020-08-23,43
2020-08-30,44
2020-09-06,44
2020-09-13,41
2020-09-20,43
2020-09-27,51
2020-10-04,44
2020-10-11,42
2020-10-18,45
2020-10-25,48
2020-11-01,45
2020-11-08,43
2020-11-15,46
2020-11-22,48
2020-11-29,53
2020-12-06,52
2020-12-13,54
2020-12-20,53
2020-12-27,53
2021-01-03,41
2021-01-10,46
2021-01-17,44
2021-01-24,48
2021-01-31,45
2021-02-07,46
2021-02-14,40
2021-02-21,37
2021-02-28,39
2021-03-07,40
2021-03-14,42
2021-03-21,39
2021-03-28,44
2021-04-04,43
2021-04-11,41
2021-04-18,39
2021-04-25,38
2021-05-02,40
2021-05-09,39
2021-05-16,39
2021-05-23,44
2021-05-30,38
2021-06-06,41
2021-06-13,46
2021-06-20,39
2021-06-27,42
2021-07-04,41
2021-07-11,36
2021-07-18,42
2021-07-25,45
2021-08-01,40
2021-08-08,38
2021-08-15,46
2021-08-22,44
2021-08-29,39
