date,Crafts_TH
2018-01-07,76
2018-01-14,68
2018-01-21,66
2018-01-28,79
2018-02-04,82
2018-02-11,69
2018-02-18,66
2018-02-25,61
2018-03-04,50
2018-03-11,62
2018-03-18,40
2018-03-25,53
2018-04-01,29
2018-04-08,60
2018-04-15,49
2018-04-22,50
2018-04-29,45
2018-05-06,34
2018-05-13,63
2018-05-20,86
2018-05-27,64
2018-06-03,69
2018-06-10,70
2018-06-17,55
2018-06-24,41
2018-07-01,61
2018-07-08,71
2018-07-15,58
2018-07-22,51
2018-07-29,69
2018-08-05,79
2018-08-12,65
2018-08-19,63
2018-08-26,58
2018-09-02,65
2018-09-09,63
2018-09-16,75
2018-09-23,86
2018-09-30,69
2018-10-07,48
2018-10-14,48
2018-10-21,47
2018-10-28,77
2018-11-04,85
2018-11-11,98
2018-11-18,66
2018-11-25,98
2018-12-02,69
2018-12-09,89
2018-12-16,72
2018-12-23,54
2018-12-30,60
2019-01-06,58
2019-01-13,77
2019-01-20,74
2019-01-27,84
2019-02-03,59
2019-02-10,73
2019-02-17,67
2019-02-24,67
2019-03-03,48
2019-03-10,45
2019-03-17,67
2019-03-24,58
2019-03-31,57
2019-04-07,52
2019-04-14,45
2019-04-21,53
2019-04-28,38
2019-05-05,49
2019-05-12,53
2019-05-19,60
2019-05-26,71
2019-06-02,62
2019-06-09,62
2019-06-16,61
2019-06-23,62
2019-06-30,64
2019-07-07,56
2019-07-14,62
2019-07-21,77
2019-07-28,65
2019-08-04,68
2019-08-11,62
2019-08-18,72
2019-08-25,64
2019-09-01,59
2019-09-08,100
2019-09-15,71
2019-09-22,59
2019-09-29,41
2019-10-06,39
2019-10-13,45
2019-10-20,52
2019-10-27,69
2019-11-03,80
2019-11-10,69
2019-11-17,84
2019-11-24,90
2019-12-01,71
2019-12-08,64
2019-12-15,74
2019-12-22,65
2019-12-29,45
2020-01-05,78
2020-01-12,71
2020-01-19,61
2020-01-26,66
2020-02-02,73
2020-02-09,47
2020-02-16,83
2020-02-23,57
2020-03-01,43
2020-03-08,54
