date,Music_PE
2020-03-15,87
2020-03-22,85
2020-03-29,85
2020-04-05,85
2020-04-12,81
2020-04-19,92
2020-04-26,87
2020-05-03,87
2020-05-10,78
2020-05-17,81
2020-05-24,80
2020-05-31,80
2020-06-07,83
2020-06-14,83
2020-06-21,86
2020-06-28,100
2020-07-05,92
2020-07-12,90
2020-07-19,97
2020-07-26,90
2020-08-02,85
2020-08-09,88
2020-08-16,87
2020-08-23,85
2020-08-30,82
2020-09-06,79
2020-09-13,80
2020-09-20,83
2020-09-27,81
2020-10-04,77
2020-10-11,78
2020-10-18,88
2020-10-25,92
2020-11-01,80
2020-11-08,81
2020-11-15,79
2020-11-22,82
2020-11-29,79
2020-12-06,82
2020-12-13,78
2020-12-20,89
2020-12-27,78
2021-01-03,78
2021-01-10,72
2021-01-17,76
2021-01-24,74
2021-01-31,75
2021-02-07,74
2021-02-14,71
2021-02-21,70
2021-02-28,71
2021-03-07,72
2021-03-14,76
2021-03-21,79
2021-03-28,74
2021-04-04,69
2021-04-11,67
2021-04-18,71
2021-04-25,74
2021-05-02,75
2021-05-09,73
2021-05-16,69
2021-05-23,71
2021-05-30,73
2021-06-06,60
2021-06-13,73
2021-06-20,73
2021-06-27,65
2021-07-04,70
2021-07-11,77
2021-07-18,75
2021-07-25,72
2021-08-01,66
2021-08-08,72
2021-08-15,72
2021-08-22,71
2021-08-29,69
