date,Pets_KR
2020-03-15,77
2020-03-22,93
2020-03-29,77
2020-04-05,80
2020-04-12,64
2020-04-19,68
2020-04-26,59
2020-05-03,62
2020-05-10,73
2020-05-17,77
2020-05-24,59
2020-05-31,67
2020-06-07,74
2020-06-14,85
2020-06-21,71
2020-06-28,73
2020-07-05,68
2020-07-12,75
2020-07-19,69
2020-07-26,64
2020-08-02,71
2020-08-09,66
2020-08-16,66
2020-08-23,58
2020-08-30,74
2020-09-06,56
2020-09-13,71
2020-09-20,81
2020-09-27,54
2020-10-04,73
2020-10-11,64
2020-10-18,73
2020-10-25,64
2020-11-01,59
2020-11-08,76
2020-11-15,65
2020-11-22,58
2020-11-29,75
2020-12-06,72
2020-12-13,65
2020-12-20,51
2020-12-27,59
2021-01-03,61
2021-01-10,62
2021-01-17,69
2021-01-24,55
2021-01-31,43
2021-02-07,53
2021-02-14,49
2021-02-21,75
2021-02-28,38
2021-03-07,62
2021-03-14,58
2021-03-21,92
2021-03-28,87
2021-04-04,93
2021-04-11,64
2021-04-18,64
2021-04-25,100
2021-05-02,66
2021-05-09,80
2021-05-16,80
2021-05-23,97
2021-05-30,70
2021-06-06,89
2021-06-13,69
2021-06-20,77
2021-06-27,76
2021-07-04,63
2021-07-11,91
2021-07-18,77
2021-07-25,64
2021-08-01,99
2021-08-08,82
2021-08-15,63
2021-08-22,66
2021-08-29,60
