date,Pets_ES
2020-03-15,71
2020-03-22,61
2020-03-29,56
2020-04-05,68
2020-04-12,67
2020-04-19,74
2020-04-26,78
2020-05-03,86
2020-05-10,67
2020-05-17,69
2020-05-24,66
2020-05-31,68
2020-06-07,75
2020-06-14,75
2020-06-21,74
2020-06-28,72
2020-07-05,77
2020-07-12,77
2020-07-19,75
2020-07-26,80
2020-08-02,85
2020-08-09,90
2020-08-16,86
2020-08-23,85
2020-08-30,75
2020-09-06,76
2020-09-13,64
2020-09-20,64
2020-09-27,65
2020-10-04,72
2020-10-11,63
2020-10-18,65
2020-10-25,68
2020-11-01,71
2020-11-08,69
2020-11-15,59
2020-11-22,69
2020-11-29,72
2020-12-06,72
2020-12-13,62
2020-12-20,66
2020-12-27,72
2021-01-03,63
2021-01-10,59
2021-01-17,60
2021-01-24,65
2021-01-31,63
2021-02-07,64
2021-02-14,62
2021-02-21,71
2021-02-28,68
2021-03-07,75
2021-03-14,69
2021-03-21,66
2021-03-28,70
2021-04-04,68
2021-04-11,70
2021-04-18,77
2021-04-25,70
2021-05-02,68
2021-05-09,66
2021-05-16,71
2021-05-23,80
2021-05-30,81
2021-06-06,78
2021-06-13,77
2021-06-20,73
2021-06-27,85
2021-07-04,86
2021-07-11,81
2021-07-18,96
2021-07-25,84
2021-08-01,96
2021-08-08,100
2021-08-15,79
2021-08-22,85
2021-08-29,73
