date,Learning_CN
2020-03-15,68
2020-03-22,55
2020-03-29,73
2020-04-05,71
2020-04-12,86
2020-04-19,62
2020-04-26,45
2020-05-03,53
2020-05-10,67
2020-05-17,77
2020-05-24,83
2020-05-31,48
2020-06-07,61
2020-06-14,67
2020-06-21,67
2020-06-28,51
2020-07-05,68
2020-07-12,65
2020-07-19,84
2020-07-26,83
2020-08-02,69
2020-08-09,52
2020-08-16,70
2020-08-23,61
2020-08-30,65
2020-09-06,70
2020-09-13,68
2020-09-20,80
2020-09-27,73
2020-10-04,83
2020-10-11,83
2020-10-18,95
2020-10-25,63
2020-11-01,54
2020-11-08,55
2020-11-15,63
2020-11-22,65
2020-11-29,67
2020-12-06,56
2020-12-13,67
2020-12-20,56
2020-12-27,58
2021-01-03,84
2021-01-10,80
2021-01-17,83
2021-01-24,59
2021-01-31,55
2021-02-07,53
2021-02-14,46
2021-02-21,44
2021-02-28,68
2021-03-07,100
2021-03-14,71
2021-03-21,59
2021-03-28,63
2021-04-04,75
2021-04-11,76
2021-04-18,77
2021-04-25,74
2021-05-02,71
2021-05-09,83
2021-05-16,66
2021-05-23,77
2021-05-30,70
2021-06-06,75
2021-06-13,67
2021-06-20,67
2021-06-27,69
2021-07-04,81
2021-07-11,65
2021-07-18,71
2021-07-25,81
2021-08-01,74
2021-08-08,67
2021-08-15,84
2021-08-22,81
2021-08-29,78
