date,Music_IR
2020-03-15,86
2020-03-22,77
2020-03-29,73
2020-04-05,69
2020-04-12,67
2020-04-19,67
2020-04-26,66
2020-05-03,68
2020-05-10,61
2020-05-17,73
2020-05-24,75
2020-05-31,75
2020-06-07,75
2020-06-14,79
2020-06-21,79
2020-06-28,75
2020-07-05,73
2020-07-12,74
2020-07-19,75
2020-07-26,74
2020-08-02,80
2020-08-09,77
2020-08-16,70
2020-08-23,55
2020-08-30,61
2020-09-06,70
2020-09-13,73
2020-09-20,74
2020-09-27,77
2020-10-04,74
2020-10-11,76
2020-10-18,77
2020-10-25,83
2020-11-01,76
2020-11-08,77
2020-11-15,80
2020-11-22,78
2020-11-29,77
2020-12-06,76
2020-12-13,77
2020-12-20,79
2020-12-27,72
2021-01-03,74
2021-01-10,75
2021-01-17,76
2021-01-24,80
2021-01-31,79
2021-02-07,79
2021-02-14,76
2021-02-21,81
2021-02-28,85
2021-03-07,86
2021-03-14,97
2021-03-21,100
2021-03-28,92
2021-04-04,81
2021-04-11,74
2021-04-18,77
2021-04-25,76
2021-05-02,67
2021-05-09,76
2021-05-16,81
2021-05-23,85
2021-05-30,88
2021-06-06,85
2021-06-13,83
2021-06-20,85
2021-06-27,87
2021-07-04,87
2021-07-11,85
2021-07-18,89
2021-07-25,86
2021-08-01,80
2021-08-08,66
2021-08-15,61
2021-08-22,73
2021-08-29,81
