date,Arts_KR
2020-03-15,71
2020-03-22,74
2020-03-29,80
2020-04-05,87
2020-04-12,69
2020-04-19,82
2020-04-26,91
2020-05-03,84
2020-05-10,84
2020-05-17,73
2020-05-24,91
2020-05-31,93
2020-06-07,87
2020-06-14,86
2020-06-21,91
2020-06-28,80
2020-07-05,76
2020-07-12,83
2020-07-19,61
2020-07-26,69
2020-08-02,74
2020-08-09,60
2020-08-16,64
2020-08-23,65
2020-08-30,80
2020-09-06,76
2020-09-13,81
2020-09-20,75
2020-09-27,60
2020-10-04,90
2020-10-11,64
2020-10-18,65
2020-10-25,73
2020-11-01,75
2020-11-08,75
2020-11-15,83
2020-11-22,62
2020-11-29,80
2020-12-06,72
2020-12-13,65
2020-12-20,55
2020-12-27,53
2021-01-03,67
2021-01-10,60
2021-01-17,62
2021-01-24,55
2021-01-31,61
2021-02-07,52
2021-02-14,64
2021-02-21,67
2021-02-28,65
2021-03-07,82
2021-03-14,77
2021-03-21,79
2021-03-28,82
2021-04-04,83
2021-04-11,85
2021-04-18,87
2021-04-25,100
2021-05-02,78
2021-05-09,96
2021-05-16,82
2021-05-23,91
2021-05-30,79
2021-06-06,87
2021-06-13,96
2021-06-20,78
2021-06-27,74
2021-07-04,74
2021-07-11,71
2021-07-18,68
2021-07-25,60
2021-08-01,61
2021-08-08,69
2021-08-15,72
2021-08-22,78
2021-08-29,75
