date,Game_PL
2018-01-07,95
2018-01-14,95
2018-01-21,100
2018-01-28,97
2018-02-04,97
2018-02-11,96
2018-02-18,93
2018-02-25,92
2018-03-04,89
2018-03-11,86
2018-03-18,90
2018-03-25,92
2018-04-01,90
2018-04-08,71
2018-04-15,69
2018-04-22,70
2018-04-29,84
2018-05-06,67
2018-05-13,68
2018-05-20,67
2018-05-27,78
2018-06-03,67
2018-06-10,75
2018-06-17,78
2018-06-24,79
2018-07-01,73
2018-07-08,70
2018-07-15,70
2018-07-22,64
2018-07-29,66
2018-08-05,65
2018-08-12,67
2018-08-19,67
2018-08-26,68
2018-09-02,59
2018-09-09,58
2018-09-16,59
2018-09-23,64
2018-09-30,64
2018-10-07,61
2018-10-14,63
2018-10-21,66
2018-10-28,76
2018-11-04,67
2018-11-11,76
2018-11-18,79
2018-11-25,77
2018-12-02,85
2018-12-09,85
2018-12-16,82
2018-12-23,97
2018-12-30,79
2019-01-06,67
2019-01-13,69
2019-01-20,69
2019-01-27,58
2019-02-03,54
2019-02-10,55
2019-02-17,51
2019-02-24,48
2019-03-03,49
2019-03-10,48
2019-03-17,47
2019-03-24,46
2019-03-31,55
2019-04-07,64
2019-04-14,61
2019-04-21,66
2019-04-28,63
2019-05-05,55
2019-05-12,58
2019-05-19,56
2019-05-26,58
2019-06-02,57
2019-06-09,57
2019-06-16,59
2019-06-23,54
2019-06-30,57
2019-07-07,56
2019-07-14,56
2019-07-21,53
2019-07-28,54
2019-08-04,54
2019-08-11,59
2019-08-18,53
2019-08-25,53
2019-09-01,51
2019-09-08,54
2019-09-15,58
2019-09-22,54
2019-09-29,55
2019-10-06,57
2019-10-13,56
2019-10-20,56
2019-10-27,63
2019-11-03,65
2019-11-10,72
2019-11-17,70
2019-11-24,69
2019-12-01,74
2019-12-08,76
2019-12-15,77
2019-12-22,86
2019-12-29,78
2020-01-05,69
2020-01-12,65
2020-01-19,68
2020-01-26,68
2020-02-02,65
2020-02-09,69
2020-02-16,68
2020-02-23,65
2020-03-01,66
2020-03-08,69
