date,Arts_AE
2020-03-15,52
2020-03-22,63
2020-03-29,69
2020-04-05,74
2020-04-12,85
2020-04-19,75
2020-04-26,77
2020-05-03,78
2020-05-10,82
2020-05-17,76
2020-05-24,78
2020-05-31,79
2020-06-07,88
2020-06-14,68
2020-06-21,86
2020-06-28,84
2020-07-05,82
2020-07-12,67
2020-07-19,66
2020-07-26,69
2020-08-02,65
2020-08-09,66
2020-08-16,62
2020-08-23,63
2020-08-30,84
2020-09-06,86
2020-09-13,73
2020-09-20,96
2020-09-27,84
2020-10-04,100
2020-10-11,79
2020-10-18,87
2020-10-25,94
2020-11-01,71
2020-11-08,77
2020-11-15,89
2020-11-22,74
2020-11-29,71
2020-12-06,69
2020-12-13,63
2020-12-20,61
2020-12-27,49
2021-01-03,77
2021-01-10,91
2021-01-17,73
2021-01-24,75
2021-01-31,82
2021-02-07,72
2021-02-14,69
2021-02-21,81
2021-02-28,74
2021-03-07,81
2021-03-14,82
2021-03-21,78
2021-03-28,67
2021-04-04,68
2021-04-11,86
2021-04-18,71
2021-04-25,74
2021-05-02,78
2021-05-09,81
2021-05-16,84
2021-05-23,84
2021-05-30,81
2021-06-06,71
2021-06-13,74
2021-06-20,74
2021-06-27,72
2021-07-04,56
2021-07-11,73
2021-07-18,53
2021-07-25,66
2021-08-01,57
2021-08-08,60
2021-08-15,64
2021-08-22,77
2021-08-29,87
