date,Arts_SE
2020-03-15,57
2020-03-22,53
2020-03-29,66
2020-04-05,64
2020-04-12,68
2020-04-19,59
2020-04-26,70
2020-05-03,67
2020-05-10,66
2020-05-17,69
2020-05-24,65
2020-05-31,61
2020-06-07,54
2020-06-14,45
2020-06-21,56
2020-06-28,66
2020-07-05,66
2020-07-12,66
2020-07-19,59
2020-07-26,70
2020-08-02,68
2020-08-09,57
2020-08-16,65
2020-08-23,70
2020-08-30,69
2020-09-06,62
2020-09-13,71
2020-09-20,66
2020-09-27,68
2020-10-04,59
2020-10-11,71
2020-10-18,62
2020-10-25,63
2020-11-01,64
2020-11-08,71
2020-11-15,68
2020-11-22,57
2020-11-29,58
2020-12-06,68
2020-12-13,60
2020-12-20,63
2020-12-27,61
2021-01-03,67
2021-01-10,69
2021-01-17,65
2021-01-24,69
2021-01-31,69
2021-02-07,66
2021-02-14,66
2021-02-21,68
2021-02-28,66
2021-03-07,74
2021-03-14,67
2021-03-21,55
2021-03-28,52
2021-04-04,75
2021-04-11,55
2021-04-18,61
2021-04-25,89
2021-05-02,70
2021-05-09,69
2021-05-16,74
2021-05-23,61
2021-05-30,74
2021-06-06,60
2021-06-13,60
2021-06-20,56
2021-06-27,59
2021-07-04,65
2021-07-11,66
2021-07-18,62
2021-07-25,67
2021-08-01,61
2021-08-08,100
2021-08-15,65
2021-08-22,73
2021-08-29,75
