date,Performing_Art_IR
2020-03-15,0
2020-03-22,100
2020-03-29,0
2020-04-05,0
2020-04-12,39
2020-04-19,66
2020-04-26,0
2020-05-03,38
2020-05-10,0
2020-05-17,13
2020-05-24,0
2020-05-31,82
2020-06-07,53
2020-06-14,14
2020-06-21,0
2020-06-28,81
2020-07-05,14
2020-07-12,14
2020-07-19,14
2020-07-26,0
2020-08-02,42
2020-08-09,27
2020-08-16,14
2020-08-23,14
2020-08-30,14
2020-09-06,13
2020-09-13,25
2020-09-20,62
2020-09-27,49
2020-10-04,24
2020-10-11,12
2020-10-18,71
2020-10-25,37
2020-11-01,0
2020-11-08,23
2020-11-15,23
2020-11-22,11
2020-11-29,33
2020-12-06,11
2020-12-13,32
2020-12-20,11
2020-12-27,11
2021-01-03,44
2021-01-10,22
2021-01-17,23
2021-01-24,33
2021-01-31,33
2021-02-07,0
2021-02-14,22
2021-02-21,34
2021-02-28,22
2021-03-07,11
2021-03-14,12
2021-03-21,87
2021-03-28,27
2021-04-04,34
2021-04-11,53
2021-04-18,11
2021-04-25,32
2021-05-02,21
2021-05-09,33
2021-05-16,44
2021-05-23,12
2021-05-30,36
2021-06-06,35
2021-06-13,12
2021-06-20,37
2021-06-27,25
2021-07-04,12
2021-07-11,12
2021-07-18,26
2021-07-25,37
2021-08-01,23
2021-08-08,12
2021-08-15,0
2021-08-22,25
2021-08-29,12
