date,Sports_EG
2020-03-15,25
2020-03-22,19
2020-03-29,20
2020-04-05,21
2020-04-12,26
2020-04-19,22
2020-04-26,21
2020-05-03,26
2020-05-10,30
2020-05-17,24
2020-05-24,26
2020-05-31,30
2020-06-07,30
2020-06-14,32
2020-06-21,37
2020-06-28,35
2020-07-05,34
2020-07-12,34
2020-07-19,33
2020-07-26,27
2020-08-02,48
2020-08-09,45
2020-08-16,48
2020-08-23,49
2020-08-30,47
2020-09-06,47
2020-09-13,48
2020-09-20,50
2020-09-27,50
2020-10-04,49
2020-10-11,56
2020-10-18,61
2020-10-25,47
2020-11-01,46
2020-11-08,45
2020-11-15,42
2020-11-22,69
2020-11-29,59
2020-12-06,49
2020-12-13,48
2020-12-20,44
2020-12-27,47
2021-01-03,43
2021-01-10,45
2021-01-17,47
2021-01-24,50
2021-01-31,100
2021-02-07,87
2021-02-14,55
2021-02-21,54
2021-02-28,60
2021-03-07,50
2021-03-14,55
2021-03-21,41
2021-03-28,46
2021-04-04,51
2021-04-11,45
2021-04-18,43
2021-04-25,39
2021-05-02,43
2021-05-09,46
2021-05-16,48
2021-05-23,54
2021-05-30,38
2021-06-06,36
2021-06-13,44
2021-06-20,44
2021-06-27,49
2021-07-04,44
2021-07-11,44
2021-07-18,61
2021-07-25,66
2021-08-01,53
2021-08-08,52
2021-08-15,62
2021-08-22,52
2021-08-29,51
