date,Crafts_SA
2020-03-15,31
2020-03-22,35
2020-03-29,24
2020-04-05,35
2020-04-12,32
2020-04-19,17
2020-04-26,23
2020-05-03,22
2020-05-10,27
2020-05-17,29
2020-05-24,55
2020-05-31,26
2020-06-07,33
2020-06-14,46
2020-06-21,13
2020-06-28,21
2020-07-05,32
2020-07-12,42
2020-07-19,44
2020-07-26,36
2020-08-02,18
2020-08-09,22
2020-08-16,24
2020-08-23,17
2020-08-30,14
2020-09-06,36
2020-09-13,22
2020-09-20,25
2020-09-27,50
2020-10-04,29
2020-10-11,41
2020-10-18,17
2020-10-25,27
2020-11-01,24
2020-11-08,30
2020-11-15,48
2020-11-22,19
2020-11-29,19
2020-12-06,26
2020-12-13,47
2020-12-20,23
2020-12-27,15
2021-01-03,31
2021-01-10,25
2021-01-17,23
2021-01-24,35
2021-01-31,30
2021-02-07,25
2021-02-14,17
2021-02-21,29
2021-02-28,42
2021-03-07,63
2021-03-14,59
2021-03-21,45
2021-03-28,100
2021-04-04,44
2021-04-11,44
2021-04-18,49
2021-04-25,27
2021-05-02,20
2021-05-09,26
2021-05-16,19
2021-05-23,38
2021-05-30,28
2021-06-06,36
2021-06-13,35
2021-06-20,34
2021-06-27,33
2021-07-04,30
2021-07-11,18
2021-07-18,27
2021-07-25,24
2021-08-01,42
2021-08-08,23
2021-08-15,34
2021-08-22,18
2021-08-29,30
