date,Learning_JP
2020-03-15,64
2020-03-22,67
2020-03-29,61
2020-04-05,63
2020-04-12,69
2020-04-19,76
2020-04-26,72
2020-05-03,67
2020-05-10,77
2020-05-17,81
2020-05-24,91
2020-05-31,79
2020-06-07,89
2020-06-14,91
2020-06-21,90
2020-06-28,75
2020-07-05,91
2020-07-12,100
2020-07-19,68
2020-07-26,78
2020-08-02,80
2020-08-09,50
2020-08-16,74
2020-08-23,83
2020-08-30,82
2020-09-06,62
2020-09-13,89
2020-09-20,83
2020-09-27,84
2020-10-04,68
2020-10-11,78
2020-10-18,72
2020-10-25,64
2020-11-01,57
2020-11-08,75
2020-11-15,71
2020-11-22,56
2020-11-29,68
2020-12-06,75
2020-12-13,83
2020-12-20,61
2020-12-27,36
2021-01-03,68
2021-01-10,65
2021-01-17,91
2021-01-24,80
2021-01-31,79
2021-02-07,68
2021-02-14,64
2021-02-21,47
2021-02-28,61
2021-03-07,62
2021-03-14,79
2021-03-21,64
2021-03-28,49
2021-04-04,71
2021-04-11,71
2021-04-18,76
2021-04-25,69
2021-05-02,55
2021-05-09,68
2021-05-16,71
2021-05-23,72
2021-05-30,71
2021-06-06,68
2021-06-13,77
2021-06-20,75
2021-06-27,65
2021-07-04,60
2021-07-11,71
2021-07-18,77
2021-07-25,71
2021-08-01,61
2021-08-08,46
2021-08-15,55
2021-08-22,60
2021-08-29,68
