date,Cooking_CZ
2020-03-15,59
2020-03-22,75
2020-03-29,77
2020-04-05,68
2020-04-12,64
2020-04-19,80
2020-04-26,65
2020-05-03,68
2020-05-10,57
2020-05-17,66
2020-05-24,67
2020-05-31,57
2020-06-07,49
2020-06-14,47
2020-06-21,48
2020-06-28,46
2020-07-05,65
2020-07-12,58
2020-07-19,52
2020-07-26,48
2020-08-02,55
2020-08-09,51
2020-08-16,60
2020-08-23,59
2020-08-30,46
2020-09-06,54
2020-09-13,58
2020-09-20,48
2020-09-27,61
2020-10-04,52
2020-10-11,55
2020-10-18,65
2020-10-25,72
2020-11-01,64
2020-11-08,69
2020-11-15,73
2020-11-22,65
2020-11-29,60
2020-12-06,66
2020-12-13,71
2020-12-20,100
2020-12-27,82
2021-01-03,58
2021-01-10,56
2021-01-17,67
2021-01-24,59
2021-01-31,62
2021-02-07,62
2021-02-14,66
2021-02-21,55
2021-02-28,70
2021-03-07,68
2021-03-14,56
2021-03-21,45
2021-03-28,69
2021-04-04,62
2021-04-11,54
2021-04-18,46
2021-04-25,47
2021-05-02,50
2021-05-09,52
2021-05-16,51
2021-05-23,42
2021-05-30,47
2021-06-06,39
2021-06-13,40
2021-06-20,43
2021-06-27,44
2021-07-04,63
2021-07-11,45
2021-07-18,54
2021-07-25,48
2021-08-01,46
2021-08-08,47
2021-08-15,40
2021-08-22,53
2021-08-29,49
