date,Sports_IL
2020-03-15,36
2020-03-22,33
2020-03-29,34
2020-04-05,33
2020-04-12,36
2020-04-19,36
2020-04-26,34
2020-05-03,33
2020-05-10,36
2020-05-17,38
2020-05-24,43
2020-05-31,52
2020-06-07,61
2020-06-14,67
2020-06-21,70
2020-06-28,69
2020-07-05,63
2020-07-12,59
2020-07-19,59
2020-07-26,54
2020-08-02,65
2020-08-09,74
2020-08-16,75
2020-08-23,78
2020-08-30,75
2020-09-06,72
2020-09-13,70
2020-09-20,75
2020-09-27,82
2020-10-04,72
2020-10-11,69
2020-10-18,69
2020-10-25,76
2020-11-01,78
2020-11-08,59
2020-11-15,63
2020-11-22,75
2020-11-29,73
2020-12-06,79
2020-12-13,75
2020-12-20,86
2020-12-27,80
2021-01-03,81
2021-01-10,71
2021-01-17,67
2021-01-24,71
2021-01-31,76
2021-02-07,79
2021-02-14,77
2021-02-21,77
2021-02-28,75
2021-03-07,83
2021-03-14,78
2021-03-21,57
2021-03-28,68
2021-04-04,78
2021-04-11,72
2021-04-18,79
2021-04-25,74
2021-05-02,73
2021-05-09,61
2021-05-16,62
2021-05-23,74
2021-05-30,71
2021-06-06,80
2021-06-13,88
2021-06-20,86
2021-06-27,100
2021-07-04,78
2021-07-11,71
2021-07-18,69
2021-07-25,83
2021-08-01,94
2021-08-08,77
2021-08-15,72
2021-08-22,81
2021-08-29,83
