date,Pets_CO
2020-03-15,69
2020-03-22,66
2020-03-29,63
2020-04-05,76
2020-04-12,70
2020-04-19,70
2020-04-26,80
2020-05-03,75
2020-05-10,67
2020-05-17,75
2020-05-24,78
2020-05-31,75
2020-06-07,73
2020-06-14,72
2020-06-21,74
2020-06-28,86
2020-07-05,77
2020-07-12,71
2020-07-19,82
2020-07-26,86
2020-08-02,74
2020-08-09,74
2020-08-16,85
2020-08-23,75
2020-08-30,77
2020-09-06,75
2020-09-13,74
2020-09-20,85
2020-09-27,80
2020-10-04,75
2020-10-11,64
2020-10-18,100
2020-10-25,70
2020-11-01,68
2020-11-08,80
2020-11-15,78
2020-11-22,78
2020-11-29,77
2020-12-06,78
2020-12-13,78
2020-12-20,92
2020-12-27,85
2021-01-03,96
2021-01-10,70
2021-01-17,75
2021-01-24,79
2021-01-31,66
2021-02-07,70
2021-02-14,71
2021-02-21,60
2021-02-28,59
2021-03-07,67
2021-03-14,72
2021-03-21,77
2021-03-28,94
2021-04-04,77
2021-04-11,75
2021-04-18,68
2021-04-25,82
2021-05-02,62
2021-05-09,88
2021-05-16,85
2021-05-23,82
2021-05-30,77
2021-06-06,87
2021-06-13,86
2021-06-20,75
2021-06-27,85
2021-07-04,72
2021-07-11,77
2021-07-18,72
2021-07-25,82
2021-08-01,85
2021-08-08,72
2021-08-15,79
2021-08-22,84
2021-08-29,84
