date,Learning_RU
2020-03-15,73
2020-03-22,64
2020-03-29,72
2020-04-05,85
2020-04-12,100
2020-04-19,92
2020-04-26,72
2020-05-03,96
2020-05-10,73
2020-05-17,90
2020-05-24,83
2020-05-31,90
2020-06-07,87
2020-06-14,86
2020-06-21,69
2020-06-28,67
2020-07-05,69
2020-07-12,54
2020-07-19,66
2020-07-26,57
2020-08-02,60
2020-08-09,59
2020-08-16,66
2020-08-23,57
2020-08-30,64
2020-09-06,73
2020-09-13,71
2020-09-20,87
2020-09-27,77
2020-10-04,96
2020-10-11,74
2020-10-18,69
2020-10-25,71
2020-11-01,89
2020-11-08,94
2020-11-15,86
2020-11-22,81
2020-11-29,65
2020-12-06,77
2020-12-13,54
2020-12-20,76
2020-12-27,50
2021-01-03,43
2021-01-10,68
2021-01-17,65
2021-01-24,67
2021-01-31,66
2021-02-07,57
2021-02-14,57
2021-02-21,53
2021-02-28,74
2021-03-07,57
2021-03-14,50
2021-03-21,78
2021-03-28,50
2021-04-04,49
2021-04-11,67
2021-04-18,76
2021-04-25,65
2021-05-02,70
2021-05-09,66
2021-05-16,57
2021-05-23,51
2021-05-30,57
2021-06-06,68
2021-06-13,63
2021-06-20,96
2021-06-27,75
2021-07-04,67
2021-07-11,74
2021-07-18,54
2021-07-25,63
2021-08-01,51
2021-08-08,39
2021-08-15,56
2021-08-22,64
2021-08-29,80
