date,Game_IN
2018-01-07,66
2018-01-14,66
2018-01-21,66
2018-01-28,61
2018-02-04,61
2018-02-11,66
2018-02-18,64
2018-02-25,70
2018-03-04,68
2018-03-11,72
2018-03-18,77
2018-03-25,80
2018-04-01,77
2018-04-08,78
2018-04-15,77
2018-04-22,80
2018-04-29,80
2018-05-06,79
2018-05-13,78
2018-05-20,82
2018-05-27,82
2018-06-03,81
2018-06-10,81
2018-06-17,76
2018-06-24,76
2018-07-01,70
2018-07-08,69
2018-07-15,69
2018-07-22,69
2018-07-29,69
2018-08-05,73
2018-08-12,76
2018-08-19,83
2018-08-26,83
2018-09-02,83
2018-09-09,82
2018-09-16,85
2018-09-23,84
2018-09-30,88
2018-10-07,90
2018-10-14,100
2018-10-21,87
2018-10-28,86
2018-11-04,97
2018-11-11,87
2018-11-18,86
2018-11-25,81
2018-12-02,81
2018-12-09,77
2018-12-16,76
2018-12-23,83
2018-12-30,82
2019-01-06,77
2019-01-13,81
2019-01-20,76
2019-01-27,77
2019-02-03,75
2019-02-10,72
2019-02-17,73
2019-02-24,71
2019-03-03,79
2019-03-10,77
2019-03-17,91
2019-03-24,85
2019-03-31,86
2019-04-07,89
2019-04-14,92
2019-04-21,93
2019-04-28,91
2019-05-05,93
2019-05-12,94
2019-05-19,99
2019-05-26,100
2019-06-02,93
2019-06-09,84
2019-06-16,82
2019-06-23,81
2019-06-30,70
2019-07-07,72
2019-07-14,73
2019-07-21,71
2019-07-28,74
2019-08-04,73
2019-08-11,82
2019-08-18,73
2019-08-25,72
2019-09-01,74
2019-09-08,75
2019-09-15,70
2019-09-22,70
2019-09-29,73
2019-10-06,80
2019-10-13,72
2019-10-20,77
2019-10-27,85
2019-11-03,74
2019-11-10,76
2019-11-17,74
2019-11-24,72
2019-12-01,73
2019-12-08,70
2019-12-15,64
2019-12-22,70
2019-12-29,70
2020-01-05,63
2020-01-12,65
2020-01-19,60
2020-01-26,62
2020-02-02,61
2020-02-09,59
2020-02-16,63
2020-02-23,61
2020-03-01,60
2020-03-08,66
