date,Cooking_SA
2018-01-07,56
2018-01-14,94
2018-01-21,82
2018-01-28,66
2018-02-04,89
2018-02-11,71
2018-02-18,64
2018-02-25,72
2018-03-04,70
2018-03-11,66
2018-03-18,74
2018-03-25,63
2018-04-01,78
2018-04-08,62
2018-04-15,58
2018-04-22,69
2018-04-29,71
2018-05-06,68
2018-05-13,90
2018-05-20,97
2018-05-27,89
2018-06-03,77
2018-06-10,45
2018-06-17,66
2018-06-24,65
2018-07-01,67
2018-07-08,81
2018-07-15,75
2018-07-22,62
2018-07-29,74
2018-08-05,68
2018-08-12,68
2018-08-19,65
2018-08-26,59
2018-09-02,69
2018-09-09,80
2018-09-16,74
2018-09-23,82
2018-09-30,75
2018-10-07,70
2018-10-14,60
2018-10-21,65
2018-10-28,69
2018-11-04,67
2018-11-11,74
2018-11-18,65
2018-11-25,71
2018-12-02,70
2018-12-09,85
2018-12-16,65
2018-12-23,60
2018-12-30,79
2019-01-06,70
2019-01-13,72
2019-01-20,77
2019-01-27,80
2019-02-03,77
2019-02-10,72
2019-02-17,69
2019-02-24,72
2019-03-03,72
2019-03-10,84
2019-03-17,87
2019-03-24,67
2019-03-31,81
2019-04-07,59
2019-04-14,61
2019-04-21,77
2019-04-28,72
2019-05-05,100
2019-05-12,95
2019-05-19,77
2019-05-26,68
2019-06-02,55
2019-06-09,56
2019-06-16,60
2019-06-23,63
2019-06-30,56
2019-07-07,64
2019-07-14,69
2019-07-21,63
2019-07-28,79
2019-08-04,70
2019-08-11,73
2019-08-18,66
2019-08-25,78
2019-09-01,70
2019-09-08,62
2019-09-15,63
2019-09-22,65
2019-09-29,63
2019-10-06,68
2019-10-13,72
2019-10-20,66
2019-10-27,66
2019-11-03,62
2019-11-10,58
2019-11-17,63
2019-11-24,62
2019-12-01,63
2019-12-08,77
2019-12-15,62
2019-12-22,64
2019-12-29,45
2020-01-05,56
2020-01-12,65
2020-01-19,69
2020-01-26,72
2020-02-02,70
2020-02-09,66
2020-02-16,79
2020-02-23,68
2020-03-01,66
2020-03-08,58
