date,Cooking_SE
2020-03-15,48
2020-03-22,65
2020-03-29,71
2020-04-05,88
2020-04-12,55
2020-04-19,58
2020-04-26,76
2020-05-03,45
2020-05-10,81
2020-05-17,82
2020-05-24,73
2020-05-31,67
2020-06-07,59
2020-06-14,53
2020-06-21,39
2020-06-28,58
2020-07-05,69
2020-07-12,65
2020-07-19,66
2020-07-26,66
2020-08-02,64
2020-08-09,71
2020-08-16,44
2020-08-23,72
2020-08-30,66
2020-09-06,64
2020-09-13,72
2020-09-20,37
2020-09-27,52
2020-10-04,72
2020-10-11,82
2020-10-18,53
2020-10-25,54
2020-11-01,53
2020-11-08,80
2020-11-15,70
2020-11-22,73
2020-11-29,89
2020-12-06,63
2020-12-13,60
2020-12-20,70
2020-12-27,64
2021-01-03,67
2021-01-10,72
2021-01-17,77
2021-01-24,79
2021-01-31,61
2021-02-07,46
2021-02-14,100
2021-02-21,69
2021-02-28,61
2021-03-07,71
2021-03-14,47
2021-03-21,31
2021-03-28,52
2021-04-04,65
2021-04-11,45
2021-04-18,71
2021-04-25,57
2021-05-02,67
2021-05-09,55
2021-05-16,59
2021-05-23,49
2021-05-30,80
2021-06-06,45
2021-06-13,58
2021-06-20,62
2021-06-27,53
2021-07-04,45
2021-07-11,60
2021-07-18,36
2021-07-25,64
2021-08-01,85
2021-08-08,71
2021-08-15,53
2021-08-22,47
2021-08-29,38
