date,Sports_JP
2018-01-07,65
2018-01-14,70
2018-01-21,67
2018-01-28,66
2018-02-04,73
2018-02-11,85
2018-02-18,89
2018-02-25,74
2018-03-04,71
2018-03-11,70
2018-03-18,78
2018-03-25,76
2018-04-01,85
2018-04-08,88
2018-04-15,86
2018-04-22,86
2018-04-29,90
2018-05-06,86
2018-05-13,91
2018-05-20,92
2018-05-27,93
2018-06-03,91
2018-06-10,92
2018-06-17,93
2018-06-24,99
2018-07-01,87
2018-07-08,85
2018-07-15,91
2018-07-22,84
2018-07-29,87
2018-08-05,86
2018-08-12,82
2018-08-19,82
2018-08-26,89
2018-09-02,84
2018-09-09,81
2018-09-16,84
2018-09-23,83
2018-09-30,81
2018-10-07,90
2018-10-14,83
2018-10-21,83
2018-10-28,81
2018-11-04,76
2018-11-11,78
2018-11-18,72
2018-11-25,72
2018-12-02,67
2018-12-09,67
2018-12-16,67
2018-12-23,61
2018-12-30,73
2019-01-06,69
2019-01-13,72
2019-01-20,77
2019-01-27,15
2019-02-03,5
2019-02-10,5
2019-02-17,6
2019-02-24,9
2019-03-03,5
2019-03-10,5
2019-03-17,5
2019-03-24,5
2019-03-31,69
2019-04-07,83
2019-04-14,91
2019-04-21,86
2019-04-28,90
2019-05-05,94
2019-05-12,92
2019-05-19,95
2019-05-26,100
2019-06-02,93
2019-06-09,92
2019-06-16,96
2019-06-23,86
2019-06-30,86
2019-07-07,88
2019-07-14,85
2019-07-21,89
2019-07-28,90
2019-08-04,90
2019-08-11,90
2019-08-18,90
2019-08-25,86
2019-09-01,91
2019-09-08,82
2019-09-15,87
2019-09-22,85
2019-09-29,91
2019-10-06,88
2019-10-13,97
2019-10-20,85
2019-10-27,81
2019-11-03,82
2019-11-10,80
2019-11-17,74
2019-11-24,71
2019-12-01,72
2019-12-08,71
2019-12-15,68
2019-12-22,63
2019-12-29,67
2020-01-05,71
2020-01-12,72
2020-01-19,73
2020-01-26,68
2020-02-02,66
2020-02-09,66
2020-02-16,68
2020-02-23,71
2020-03-01,66
2020-03-08,61
