date,Game_FR
2020-03-15,62
2020-03-22,68
2020-03-29,67
2020-04-05,63
2020-04-12,63
2020-04-19,58
2020-04-26,100
2020-05-03,91
2020-05-10,49
2020-05-17,50
2020-05-24,45
2020-05-31,47
2020-06-07,48
2020-06-14,45
2020-06-21,43
2020-06-28,45
2020-07-05,45
2020-07-12,46
2020-07-19,44
2020-07-26,45
2020-08-02,45
2020-08-09,45
2020-08-16,46
2020-08-23,46
2020-08-30,42
2020-09-06,41
2020-09-13,46
2020-09-20,47
2020-09-27,49
2020-10-04,48
2020-10-11,50
2020-10-18,53
2020-10-25,58
2020-11-01,54
2020-11-08,64
2020-11-15,62
2020-11-22,59
2020-11-29,62
2020-12-06,61
2020-12-13,61
2020-12-20,71
2020-12-27,69
2021-01-03,49
2021-01-10,48
2021-01-17,48
2021-01-24,48
2021-01-31,49
2021-02-07,49
2021-02-14,49
2021-02-21,49
2021-02-28,48
2021-03-07,46
2021-03-14,46
2021-03-21,46
2021-03-28,44
2021-04-04,49
2021-04-11,50
2021-04-18,49
2021-04-25,45
2021-05-02,43
2021-05-09,46
2021-05-16,43
2021-05-23,44
2021-05-30,43
2021-06-06,42
2021-06-13,43
2021-06-20,46
2021-06-27,47
2021-07-04,49
2021-07-11,47
2021-07-18,52
2021-07-25,66
2021-08-01,77
2021-08-08,55
2021-08-15,48
2021-08-22,57
2021-08-29,55
