date,Cooking_IR
2018-01-07,85
2018-01-14,84
2018-01-21,71
2018-01-28,95
2018-02-04,78
2018-02-11,77
2018-02-18,56
2018-02-25,73
2018-03-04,58
2018-03-11,63
2018-03-18,47
2018-03-25,56
2018-04-01,63
2018-04-08,71
2018-04-15,74
2018-04-22,81
2018-04-29,66
2018-05-06,75
2018-05-13,82
2018-05-20,77
2018-05-27,84
2018-06-03,85
2018-06-10,72
2018-06-17,61
2018-06-24,66
2018-07-01,65
2018-07-08,59
2018-07-15,71
2018-07-22,64
2018-07-29,55
2018-08-05,63
2018-08-12,71
2018-08-19,56
2018-08-26,60
2018-09-02,60
2018-09-09,58
2018-09-16,67
2018-09-23,57
2018-09-30,65
2018-10-07,90
2018-10-14,73
2018-10-21,68
2018-10-28,78
2018-11-04,77
2018-11-11,96
2018-11-18,76
2018-11-25,85
2018-12-02,88
2018-12-09,92
2018-12-16,83
2018-12-23,74
2018-12-30,80
2019-01-06,70
2019-01-13,68
2019-01-20,77
2019-01-27,64
2019-02-03,78
2019-02-10,68
2019-02-17,67
2019-02-24,66
2019-03-03,52
2019-03-10,62
2019-03-17,43
2019-03-24,59
2019-03-31,56
2019-04-07,68
2019-04-14,71
2019-04-21,78
2019-04-28,67
2019-05-05,68
2019-05-12,83
2019-05-19,73
2019-05-26,71
2019-06-02,68
2019-06-09,73
2019-06-16,66
2019-06-23,60
2019-06-30,64
2019-07-07,65
2019-07-14,67
2019-07-21,61
2019-07-28,64
2019-08-04,68
2019-08-11,60
2019-08-18,54
2019-08-25,59
2019-09-01,63
2019-09-08,66
2019-09-15,73
2019-09-22,68
2019-09-29,70
2019-10-06,80
2019-10-13,71
2019-10-20,78
2019-10-27,69
2019-11-03,70
2019-11-10,82
2019-11-17,100
2019-11-24,79
2019-12-01,79
2019-12-08,79
2019-12-15,73
2019-12-22,72
2019-12-29,76
2020-01-05,65
2020-01-12,74
2020-01-19,63
2020-01-26,65
2020-02-02,68
2020-02-09,67
2020-02-16,54
2020-02-23,53
2020-03-01,62
2020-03-08,80
