date,Game_TH
2020-03-15,46
2020-03-22,45
2020-03-29,52
2020-04-05,50
2020-04-12,49
2020-04-19,52
2020-04-26,97
2020-05-03,100
2020-05-10,60
2020-05-17,60
2020-05-24,67
2020-05-31,69
2020-06-07,64
2020-06-14,50
2020-06-21,50
2020-06-28,45
2020-07-05,48
2020-07-12,45
2020-07-19,43
2020-07-26,44
2020-08-02,47
2020-08-09,46
2020-08-16,47
2020-08-23,48
2020-08-30,46
2020-09-06,47
2020-09-13,46
2020-09-20,48
2020-09-27,43
2020-10-04,44
2020-10-11,42
2020-10-18,48
2020-10-25,43
2020-11-01,40
2020-11-08,40
2020-11-15,45
2020-11-22,44
2020-11-29,39
2020-12-06,43
2020-12-13,44
2020-12-20,47
2020-12-27,48
2021-01-03,47
2021-01-10,48
2021-01-17,45
2021-01-24,43
2021-01-31,42
2021-02-07,42
2021-02-14,40
2021-02-21,43
2021-02-28,43
2021-03-07,41
2021-03-14,36
2021-03-21,42
2021-03-28,39
2021-04-04,41
2021-04-11,45
2021-04-18,44
2021-04-25,45
2021-05-02,42
2021-05-09,44
2021-05-16,46
2021-05-23,49
2021-05-30,42
2021-06-06,45
2021-06-13,37
2021-06-20,42
2021-06-27,42
2021-07-04,42
2021-07-11,42
2021-07-18,43
2021-07-25,44
2021-08-01,44
2021-08-08,45
2021-08-15,50
2021-08-22,47
2021-08-29,47
