date,Arts_BD
2020-03-15,54
2020-03-22,84
2020-03-29,84
2020-04-05,79
2020-04-12,88
2020-04-19,95
2020-04-26,100
2020-05-03,90
2020-05-10,90
2020-05-17,84
2020-05-24,69
2020-05-31,71
2020-06-07,68
2020-06-14,75
2020-06-21,72
2020-06-28,89
2020-07-05,63
2020-07-12,85
2020-07-19,76
2020-07-26,91
2020-08-02,82
2020-08-09,81
2020-08-16,78
2020-08-23,74
2020-08-30,77
2020-09-06,73
2020-09-13,76
2020-09-20,80
2020-09-27,66
2020-10-04,71
2020-10-11,69
2020-10-18,83
2020-10-25,75
2020-11-01,60
2020-11-08,67
2020-11-15,88
2020-11-22,79
2020-11-29,64
2020-12-06,76
2020-12-13,88
2020-12-20,93
2020-12-27,67
2021-01-03,69
2021-01-10,66
2021-01-17,72
2021-01-24,61
2021-01-31,72
2021-02-07,84
2021-02-14,70
2021-02-21,59
2021-02-28,74
2021-03-07,61
2021-03-14,61
2021-03-21,82
2021-03-28,63
2021-04-04,68
2021-04-11,65
2021-04-18,72
2021-04-25,63
2021-05-02,70
2021-05-09,65
2021-05-16,66
2021-05-23,61
2021-05-30,79
2021-06-06,82
2021-06-13,81
2021-06-20,77
2021-06-27,81
2021-07-04,77
2021-07-11,82
2021-07-18,75
2021-07-25,95
2021-08-01,73
2021-08-08,79
2021-08-15,76
2021-08-22,90
2021-08-29,82
