date,Pets_DK
2020-03-15,47
2020-03-22,60
2020-03-29,64
2020-04-05,58
2020-04-12,76
2020-04-19,100
2020-04-26,60
2020-05-03,87
2020-05-10,71
2020-05-17,68
2020-05-24,49
2020-05-31,75
2020-06-07,75
2020-06-14,43
2020-06-21,81
2020-06-28,51
2020-07-05,59
2020-07-12,65
2020-07-19,62
2020-07-26,59
2020-08-02,63
2020-08-09,37
2020-08-16,47
2020-08-23,79
2020-08-30,55
2020-09-06,55
2020-09-13,48
2020-09-20,42
2020-09-27,43
2020-10-04,47
2020-10-11,67
2020-10-18,46
2020-10-25,48
2020-11-01,50
2020-11-08,69
2020-11-15,60
2020-11-22,72
2020-11-29,68
2020-12-06,79
2020-12-13,28
2020-12-20,59
2020-12-27,63
2021-01-03,64
2021-01-10,75
2021-01-17,94
2021-01-24,52
2021-01-31,39
2021-02-07,55
2021-02-14,69
2021-02-21,58
2021-02-28,68
2021-03-07,52
2021-03-14,50
2021-03-21,41
2021-03-28,41
2021-04-04,66
2021-04-11,40
2021-04-18,58
2021-04-25,46
2021-05-02,64
2021-05-09,70
2021-05-16,68
2021-05-23,50
2021-05-30,49
2021-06-06,56
2021-06-13,43
2021-06-20,44
2021-06-27,66
2021-07-04,58
2021-07-11,44
2021-07-18,55
2021-07-25,33
2021-08-01,47
2021-08-08,66
2021-08-15,74
2021-08-22,81
2021-08-29,25
