date,Performing_Art_KR
2018-01-07,14
2018-01-14,42
2018-01-21,14
2018-01-28,29
2018-02-04,100
2018-02-11,31
2018-02-18,42
2018-02-25,14
2018-03-04,15
2018-03-11,0
2018-03-18,0
2018-03-25,57
2018-04-01,28
2018-04-08,28
2018-04-15,14
2018-04-22,14
2018-04-29,14
2018-05-06,0
2018-05-13,13
2018-05-20,28
2018-05-27,27
2018-06-03,69
2018-06-10,27
2018-06-17,55
2018-06-24,0
2018-07-01,28
2018-07-08,27
2018-07-15,0
2018-07-22,27
2018-07-29,14
2018-08-05,0
2018-08-12,27
2018-08-19,27
2018-08-26,0
2018-09-02,14
2018-09-09,0
2018-09-16,42
2018-09-23,30
2018-09-30,40
2018-10-07,29
2018-10-14,28
2018-10-21,43
2018-10-28,43
2018-11-04,69
2018-11-11,70
2018-11-18,28
2018-11-25,56
2018-12-02,0
2018-12-09,0
2018-12-16,28
2018-12-23,31
2018-12-30,45
2019-01-06,28
2019-01-13,43
2019-01-20,0
2019-01-27,0
2019-02-03,15
2019-02-10,13
2019-02-17,28
2019-02-24,14
2019-03-03,29
2019-03-10,0
2019-03-17,27
2019-03-24,0
2019-03-31,14
2019-04-07,27
2019-04-14,0
2019-04-21,27
2019-04-28,14
2019-05-05,56
2019-05-12,27
2019-05-19,27
2019-05-26,40
2019-06-02,40
2019-06-09,91
2019-06-16,0
2019-06-23,13
2019-06-30,27
2019-07-07,0
2019-07-14,42
2019-07-21,14
2019-07-28,15
2019-08-04,28
2019-08-11,27
2019-08-18,13
2019-08-25,54
2019-09-01,89
2019-09-08,0
2019-09-15,26
2019-09-22,13
2019-09-29,13
2019-10-06,65
2019-10-13,38
2019-10-20,38
2019-10-27,13
2019-11-03,38
2019-11-10,37
2019-11-17,13
2019-11-24,25
2019-12-01,12
2019-12-08,48
2019-12-15,23
2019-12-22,12
2019-12-29,49
2020-01-05,23
2020-01-12,11
2020-01-19,25
2020-01-26,0
2020-02-02,23
2020-02-09,55
2020-02-16,43
2020-02-23,29
2020-03-01,20
2020-03-08,50
